Martin	// User ID
7-4-2023	// Evaluation date
H_S_R3	7-4-2023	15:11:10:741	// Source file name and timestamp
100.000	// Sampling rate
54.375	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
42	0.955664	0.009872	-0.001311	-0.294291	0.648668	-0.013492	-0.760668	-0.020796	-0.130048	-0.114224	0.698598	-0.694263	
43	0.955651	0.009883	-0.001315	-0.294333	0.648695	-0.013490	-0.760644	-0.020827	-0.130082	-0.114240	0.698613	-0.694239	
44	0.955642	0.009892	-0.001308	-0.294362	0.648722	-0.013409	-0.760625	-0.020745	-0.130026	-0.114341	0.698589	-0.694257	
45	0.955650	0.009888	-0.001304	-0.294337	0.648682	-0.013794	-0.760652	-0.020725	-0.130223	-0.114083	0.698442	-0.694411	
46	0.955662	0.009881	-0.001329	-0.294297	0.648707	-0.013532	-0.760635	-0.020770	-0.130098	-0.114246	0.698562	-0.694287	
47	0.955663	0.009878	-0.001338	-0.294292	0.648683	-0.013636	-0.760652	-0.020805	-0.130154	-0.114150	0.698548	-0.694306	
48	0.955664	0.009878	-0.001323	-0.294292	0.648716	-0.013385	-0.760629	-0.020768	-0.130014	-0.114342	0.698613	-0.694235	
49	0.955673	0.009875	-0.001309	-0.294263	0.648710	-0.013453	-0.760632	-0.020794	-0.130061	-0.114287	0.698605	-0.694243	
50	0.955682	0.009875	-0.001301	-0.294233	0.648722	-0.013464	-0.760622	-0.020791	-0.130077	-0.114293	0.698597	-0.694247	
51	0.955692	0.009881	-0.001277	-0.294199	0.648775	-0.013383	-0.760578	-0.020801	-0.130079	-0.114386	0.698625	-0.694204	
52	0.955699	0.009887	-0.001266	-0.294176	0.648676	-0.013655	-0.760659	-0.020734	-0.130134	-0.114157	0.698500	-0.694357	
53	0.955695	0.009892	-0.001286	-0.294189	0.648701	-0.013426	-0.760642	-0.020752	-0.130020	-0.114310	0.698590	-0.694262	
54	0.955684	0.009905	-0.001285	-0.294226	0.648725	-0.013453	-0.760620	-0.020774	-0.130067	-0.114308	0.698590	-0.694253	
55	0.955682	0.009908	-0.001279	-0.294231	0.648638	-0.013732	-0.760693	-0.020680	-0.130128	-0.114095	0.698444	-0.694424	
56	0.955692	0.009902	-0.001278	-0.294200	0.648655	-0.013750	-0.760676	-0.020733	-0.130174	-0.114081	0.698467	-0.694395	
57	0.955702	0.009897	-0.001257	-0.294168	0.648672	-0.013697	-0.760664	-0.020701	-0.130144	-0.114140	0.698465	-0.694393	
58	0.955709	0.009878	-0.001205	-0.294145	0.648748	-0.013409	-0.760602	-0.020746	-0.130050	-0.114366	0.698586	-0.694251	
59	0.955709	0.009872	-0.001181	-0.294147	0.648746	-0.013438	-0.760602	-0.020800	-0.130086	-0.114328	0.698608	-0.694229	
60	0.955714	0.009879	-0.001187	-0.294130	0.648704	-0.013498	-0.760638	-0.020765	-0.130073	-0.114265	0.698571	-0.694279	
61	0.955734	0.009871	-0.001182	-0.294064	0.648660	-0.013587	-0.760674	-0.020731	-0.130076	-0.114184	0.698525	-0.694338	
62	0.955744	0.009864	-0.001191	-0.294033	0.648737	-0.013360	-0.760613	-0.020747	-0.130010	-0.114383	0.698606	-0.694236	
63	0.955752	0.009850	-0.001192	-0.294007	0.648749	-0.013439	-0.760601	-0.020767	-0.130077	-0.114340	0.698588	-0.694249	
64	0.955758	0.009833	-0.001185	-0.293987	0.648655	-0.013638	-0.760679	-0.020701	-0.130093	-0.114159	0.698489	-0.694375	
65	0.955751	0.009827	-0.001202	-0.294010	0.648689	-0.013381	-0.760653	-0.020737	-0.129976	-0.114331	0.698600	-0.694257	
66	0.955762	0.009807	-0.001213	-0.293974	0.648733	-0.013388	-0.760614	-0.020791	-0.130040	-0.114348	0.698624	-0.694218	
67	0.955775	0.009783	-0.001210	-0.293932	0.648677	-0.013514	-0.760662	-0.020704	-0.130036	-0.114253	0.698533	-0.694326	
68	0.955772	0.009776	-0.001206	-0.293943	0.648686	-0.013691	-0.760650	-0.020750	-0.130172	-0.114140	0.698494	-0.694358	
69	0.955764	0.009774	-0.001209	-0.293969	0.648684	-0.013450	-0.760656	-0.020749	-0.130018	-0.114280	0.698582	-0.694275	
70	0.955748	0.009763	-0.001217	-0.294021	0.648716	-0.013712	-0.760622	-0.020806	-0.130233	-0.114135	0.698516	-0.694326	
71	0.955735	0.009742	-0.001210	-0.294064	0.648698	-0.013514	-0.760644	-0.020730	-0.130064	-0.114262	0.698546	-0.694306	
72	0.955731	0.009724	-0.001195	-0.294078	0.648728	-0.013470	-0.760619	-0.020747	-0.130070	-0.114310	0.698568	-0.694275	
73	0.955730	0.009727	-0.001216	-0.294081	0.648760	-0.013410	-0.760591	-0.020791	-0.130077	-0.114360	0.698611	-0.694222	
74	0.955748	0.009756	-0.001257	-0.294023	0.648733	-0.013410	-0.760613	-0.020829	-0.130067	-0.114322	0.698638	-0.694203	
75	0.955776	0.009774	-0.001270	-0.293931	0.648738	-0.013444	-0.760610	-0.020764	-0.130069	-0.114328	0.698586	-0.694254	
76	0.955791	0.009763	-0.001252	-0.293880	0.648720	-0.013403	-0.760626	-0.020763	-0.130027	-0.114337	0.698603	-0.694244	
77	0.955795	0.009760	-0.001251	-0.293869	0.648722	-0.013388	-0.760623	-0.020806	-0.130035	-0.114333	0.698634	-0.694211	
78	0.955836	0.009762	-0.001246	-0.293736	0.648646	-0.013727	-0.760684	-0.020704	-0.130141	-0.114097	0.698460	-0.694406	
79	0.955872	0.009766	-0.001239	-0.293618	0.648756	-0.013480	-0.760593	-0.020791	-0.130118	-0.114315	0.698586	-0.694247	
80	0.955859	0.009776	-0.001243	-0.293662	0.648618	-0.013813	-0.760706	-0.020764	-0.130191	-0.113999	0.698468	-0.694404	
81	0.955852	0.009785	-0.001243	-0.293683	0.648682	-0.013649	-0.760655	-0.020693	-0.130121	-0.114181	0.698476	-0.694379	
82	0.955856	0.009784	-0.001240	-0.293669	0.648653	-0.013670	-0.760680	-0.020712	-0.130114	-0.114135	0.698484	-0.694380	
83	0.955862	0.009774	-0.001233	-0.293651	0.648717	-0.013459	-0.760626	-0.020812	-0.130078	-0.114284	0.698612	-0.694233	
84	0.955874	0.009766	-0.001226	-0.293611	0.648694	-0.013433	-0.760647	-0.020774	-0.130026	-0.114291	0.698602	-0.694252	
85	0.955900	0.009761	-0.001246	-0.293528	0.648713	-0.013463	-0.760631	-0.020770	-0.130061	-0.114292	0.698586	-0.694262	
86	0.955939	0.009751	-0.001256	-0.293402	0.648718	-0.013376	-0.760628	-0.020784	-0.130016	-0.114344	0.698625	-0.694222	
87	0.955969	0.009744	-0.001256	-0.293302	0.648711	-0.013401	-0.760632	-0.020813	-0.130036	-0.114312	0.698635	-0.694214	
88	0.955972	0.009746	-0.001269	-0.293294	0.648638	-0.013720	-0.760691	-0.020709	-0.130131	-0.114092	0.698466	-0.694401	
89	0.955969	0.009737	-0.001252	-0.293305	0.648707	-0.013434	-0.760636	-0.020783	-0.130042	-0.114299	0.698605	-0.694244	
90	0.955969	0.009724	-0.001206	-0.293303	0.648734	-0.013513	-0.760611	-0.020778	-0.130114	-0.114279	0.698570	-0.694270	
91	0.955961	0.009706	-0.001177	-0.293332	0.648752	-0.013372	-0.760596	-0.020872	-0.130076	-0.114346	0.698675	-0.694160	
92	0.955932	0.009682	-0.001190	-0.293426	0.648672	-0.013685	-0.760661	-0.020785	-0.130168	-0.114117	0.698520	-0.694337	
93	0.955905	0.009686	-0.001189	-0.293513	0.648706	-0.013435	-0.760636	-0.020811	-0.130052	-0.114288	0.698622	-0.694227	
94	0.955891	0.009693	-0.001180	-0.293560	0.648722	-0.013528	-0.760619	-0.020867	-0.130145	-0.114228	0.698619	-0.694223	
95	0.955880	0.009681	-0.001174	-0.293594	0.648717	-0.013427	-0.760628	-0.020765	-0.130040	-0.114320	0.698596	-0.694251	
96	0.955864	0.009672	-0.001151	-0.293647	0.648727	-0.013390	-0.760619	-0.020795	-0.130037	-0.114340	0.698626	-0.694218	
97	0.955853	0.009682	-0.001139	-0.293682	0.648699	-0.013471	-0.760641	-0.020840	-0.130079	-0.114250	0.698627	-0.694224	
98	0.955869	0.009691	-0.001140	-0.293630	0.648740	-0.013394	-0.760610	-0.020720	-0.130024	-0.114376	0.698577	-0.694263	
99	0.955904	0.009691	-0.001143	-0.293516	0.648761	-0.013478	-0.760588	-0.020817	-0.130131	-0.114312	0.698602	-0.694229	
100	0.955921	0.009703	-0.001153	-0.293461	0.648658	-0.013698	-0.760674	-0.020723	-0.130141	-0.114119	0.698480	-0.694382	
101	0.955929	0.009721	-0.001166	-0.293434	0.648713	-0.013502	-0.760630	-0.020768	-0.130084	-0.114271	0.698570	-0.694276	
102	0.955942	0.009726	-0.001164	-0.293391	0.648658	-0.013582	-0.760677	-0.020704	-0.130061	-0.114195	0.698511	-0.694353	
103	0.955961	0.009714	-0.001150	-0.293331	0.648713	-0.013428	-0.760629	-0.020873	-0.130077	-0.114276	0.698661	-0.694186	
104	0.955976	0.009708	-0.001155	-0.293281	0.648704	-0.013415	-0.760640	-0.020752	-0.130016	-0.114319	0.698595	-0.694257	
105	0.955973	0.009712	-0.001153	-0.293292	0.648670	-0.013614	-0.760664	-0.020778	-0.130120	-0.114160	0.698542	-0.694317	
106	0.955966	0.009716	-0.001141	-0.293316	0.648662	-0.013612	-0.760669	-0.020842	-0.130134	-0.114131	0.698582	-0.694278	
