Martin	// User ID
7-4-2023	// Evaluation date
H_S_R2	7-4-2023	15:08:52:158	// Source file name and timestamp
100.000	// Sampling rate
58.170	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
0	0.939981	0.008066	0.004435	0.341102	0.207818	-0.011511	-0.977572	-0.032122	0.209901	0.238714	0.677158	-0.663637	
1	0.939951	0.008068	0.004449	0.341186	0.207838	-0.011459	-0.977568	-0.032135	0.209915	0.238673	0.677189	-0.663615	
2	0.939959	0.008056	0.004457	0.341164	0.207851	-0.011504	-0.977565	-0.032115	0.209886	0.238684	0.677164	-0.663647	
3	0.939983	0.008013	0.004467	0.341097	0.207898	-0.011525	-0.977555	-0.032112	0.209842	0.238663	0.677165	-0.663667	
4	0.940004	0.007992	0.004476	0.341040	0.207834	-0.011493	-0.977570	-0.032099	0.209911	0.238684	0.677154	-0.663649	
5	0.940020	0.008019	0.004478	0.340995	0.207891	-0.011528	-0.977556	-0.032128	0.209839	0.238676	0.677172	-0.663656	
6	0.940031	0.008020	0.004469	0.340965	0.207845	-0.011492	-0.977569	-0.032045	0.209924	0.238657	0.677125	-0.663685	
7	0.940004	0.008009	0.004461	0.341039	0.207911	-0.011714	-0.977537	-0.032524	0.209564	0.238911	0.677346	-0.663481	
8	0.939975	0.008003	0.004454	0.341119	0.207843	-0.011423	-0.977569	-0.032091	0.209951	0.238633	0.677177	-0.663631	
9	0.939993	0.008000	0.004445	0.341072	0.207843	-0.011470	-0.977567	-0.032120	0.209911	0.238671	0.677177	-0.663629	
10	0.940015	0.008021	0.004449	0.341008	0.207845	-0.011511	-0.977566	-0.032138	0.209877	0.238701	0.677174	-0.663634	
11	0.940014	0.008034	0.004452	0.341013	0.207829	-0.011499	-0.977571	-0.032083	0.209916	0.238685	0.677141	-0.663660	
12	0.939992	0.008031	0.004451	0.341072	0.207807	-0.011550	-0.977576	-0.032071	0.209903	0.238727	0.677110	-0.663681	
13	0.939973	0.008035	0.004456	0.341126	0.207851	-0.011580	-0.977565	-0.032115	0.209839	0.238729	0.677136	-0.663674	
14	0.939964	0.008037	0.004465	0.341150	0.207863	-0.011573	-0.977560	-0.032169	0.209815	0.238736	0.677174	-0.663640	
15	0.939953	0.008020	0.004479	0.341181	0.207863	-0.011477	-0.977565	-0.032073	0.209910	0.238645	0.677151	-0.663666	
16	0.939942	0.008001	0.004495	0.341212	0.207786	-0.011551	-0.977580	-0.032089	0.209911	0.238748	0.677116	-0.663665	
17	0.939943	0.008012	0.004505	0.341208	0.207836	-0.011496	-0.977570	-0.032067	0.209919	0.238673	0.677134	-0.663670	
18	0.939934	0.008042	0.004504	0.341231	0.207845	-0.011581	-0.977567	-0.032071	0.209858	0.238719	0.677108	-0.663700	
19	0.939913	0.008051	0.004511	0.341289	0.207828	-0.011480	-0.977570	-0.032135	0.209909	0.238693	0.677179	-0.663621	
20	0.939893	0.008032	0.004521	0.341344	0.207831	-0.011537	-0.977571	-0.032049	0.209903	0.238694	0.677107	-0.663695	
21	0.939888	0.008016	0.004509	0.341360	0.207866	-0.011548	-0.977563	-0.032079	0.209862	0.238687	0.677130	-0.663688	
22	0.939891	0.008017	0.004512	0.341350	0.207821	-0.011578	-0.977570	-0.032142	0.209850	0.238758	0.677146	-0.663650	
23	0.939876	0.008030	0.004525	0.341391	0.207887	-0.011542	-0.977557	-0.032140	0.209829	0.238690	0.677173	-0.663653	
24	0.939848	0.008040	0.004527	0.341469	0.207850	-0.011452	-0.977566	-0.032111	0.209920	0.238653	0.677180	-0.663631	
25	0.939846	0.008034	0.004523	0.341474	0.207849	-0.011552	-0.977566	-0.032100	0.209863	0.238709	0.677136	-0.663673	
26	0.939845	0.008037	0.004521	0.341476	0.207867	-0.011573	-0.977562	-0.032102	0.209838	0.238709	0.677134	-0.663683	
27	0.939849	0.008035	0.004525	0.341467	0.207794	-0.011494	-0.977579	-0.032072	0.209947	0.238703	0.677128	-0.663657	
28	0.939863	0.008025	0.004526	0.341427	0.207836	-0.011550	-0.977569	-0.032095	0.209875	0.238715	0.677131	-0.663672	
29	0.939860	0.008044	0.004504	0.341435	0.207806	-0.011528	-0.977575	-0.032113	0.209903	0.238728	0.677143	-0.663646	
30	0.939843	0.008061	0.004491	0.341482	0.207829	-0.011468	-0.977570	-0.032120	0.209921	0.238680	0.677175	-0.663626	
31	0.939832	0.008058	0.004477	0.341512	0.207837	-0.011482	-0.977570	-0.032075	0.209924	0.238667	0.677144	-0.663661	
32	0.939838	0.008048	0.004459	0.341495	0.207853	-0.011534	-0.977564	-0.032128	0.209862	0.238705	0.677161	-0.663650	
33	0.939852	0.008050	0.004478	0.341458	0.207857	-0.011564	-0.977564	-0.032112	0.209846	0.238714	0.677141	-0.663671	
34	0.939862	0.008058	0.004483	0.341431	0.207782	-0.011464	-0.977583	-0.032032	0.209988	0.238679	0.677112	-0.663669	
35	0.939873	0.008062	0.004470	0.341400	0.207876	-0.011518	-0.977558	-0.032183	0.209836	0.238699	0.677205	-0.663615	
36	0.939893	0.008055	0.004471	0.341346	0.207820	-0.011504	-0.977573	-0.032071	0.209923	0.238690	0.677130	-0.663667	
37	0.939912	0.008042	0.004458	0.341294	0.207802	-0.011523	-0.977576	-0.032092	0.209916	0.238721	0.677131	-0.663657	
38	0.939927	0.008015	0.004454	0.341252	0.207818	-0.011461	-0.977575	-0.032049	0.209959	0.238659	0.677132	-0.663665	
39	0.939946	0.007983	0.004467	0.341199	0.207847	-0.011527	-0.977565	-0.032135	0.209867	0.238708	0.677167	-0.663642	
40	0.939973	0.007969	0.004473	0.341126	0.207828	-0.011486	-0.977571	-0.032093	0.209921	0.238682	0.677151	-0.663649	
41	0.939997	0.007977	0.004468	0.341061	0.207823	-0.011568	-0.977571	-0.032110	0.209867	0.238740	0.677131	-0.663666	
42	0.940027	0.007979	0.004453	0.340976	0.207856	-0.011449	-0.977564	-0.032134	0.209910	0.238655	0.677196	-0.663616	
43	0.940053	0.007972	0.004440	0.340906	0.207781	-0.011551	-0.977579	-0.032148	0.209892	0.238773	0.677149	-0.663627	
44	0.940050	0.007978	0.004439	0.340913	0.207881	-0.011489	-0.977559	-0.032111	0.209877	0.238653	0.677174	-0.663651	
45	0.940051	0.007975	0.004452	0.340910	0.207815	-0.011525	-0.977573	-0.032120	0.209895	0.238723	0.677150	-0.663643	
46	0.940051	0.007972	0.004470	0.340911	0.207853	-0.011533	-0.977565	-0.032100	0.209872	0.238695	0.677145	-0.663667	
47	0.940046	0.007982	0.004480	0.340925	0.207815	-0.011526	-0.977573	-0.032094	0.209904	0.238715	0.677135	-0.663659	
48	0.940053	0.007994	0.004477	0.340904	0.207895	-0.011416	-0.977559	-0.032063	0.209930	0.238583	0.677175	-0.663657	
49	0.940067	0.007987	0.004485	0.340866	0.207845	-0.011490	-0.977570	-0.032029	0.209931	0.238649	0.677116	-0.663694	
50	0.940068	0.007980	0.004496	0.340863	0.207880	-0.011514	-0.977558	-0.032136	0.209852	0.238677	0.677180	-0.663644	
51	0.940056	0.007988	0.004499	0.340897	0.207856	-0.011617	-0.977562	-0.032144	0.209802	0.238758	0.677141	-0.663669	
