Martin	// User ID
7-4-2023	// Evaluation date
H_S_R4	7-4-2023	15:13:23:405	// Source file name and timestamp
100.000	// Sampling rate
41.652	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
0	0.940680	0.008087	0.004621	0.339169	0.204026	-0.011858	-0.978359	-0.032341	0.212167	0.241627	0.676272	-0.662765	
1	0.940679	0.008113	0.004617	0.339170	0.204001	-0.011878	-0.978369	-0.032197	0.212225	0.241606	0.676172	-0.662856	
2	0.940683	0.008128	0.004607	0.339157	0.204042	-0.011920	-0.978347	-0.032574	0.212032	0.241734	0.676392	-0.662646	
3	0.940680	0.008111	0.004597	0.339168	0.204199	-0.011839	-0.978312	-0.032700	0.211930	0.241621	0.676534	-0.662575	
4	0.940661	0.008116	0.004590	0.339220	0.204208	-0.012091	-0.978300	-0.032900	0.211694	0.241835	0.676564	-0.662543	
5	0.940644	0.008116	0.004580	0.339267	0.204091	-0.011571	-0.978353	-0.032237	0.212341	0.241375	0.676329	-0.662744	
6	0.940648	0.008097	0.004577	0.339256	0.204121	-0.012071	-0.978324	-0.032726	0.211829	0.241822	0.676447	-0.662624	
7	0.940674	0.008091	0.004592	0.339183	0.204165	-0.011955	-0.978312	-0.032840	0.211829	0.241763	0.676568	-0.662522	
8	0.940706	0.008098	0.004591	0.339095	0.204141	-0.011892	-0.978330	-0.032479	0.212018	0.241616	0.676369	-0.662718	
9	0.940722	0.008108	0.004592	0.339050	0.204167	-0.011863	-0.978322	-0.032575	0.211983	0.241614	0.676443	-0.662654	
10	0.940728	0.008110	0.004596	0.339034	0.204129	-0.011652	-0.978337	-0.032451	0.212185	0.241472	0.676437	-0.662648	
11	0.940743	0.008101	0.004576	0.338992	0.204265	-0.011996	-0.978289	-0.032890	0.211718	0.241735	0.676606	-0.662528	
12	0.940753	0.008104	0.004564	0.338965	0.204129	-0.011786	-0.978337	-0.032392	0.212124	0.241530	0.676352	-0.662732	
13	0.940775	0.008100	0.004561	0.338904	0.204145	-0.011903	-0.978325	-0.032594	0.211966	0.241659	0.676435	-0.662652	
14	0.940807	0.008086	0.004560	0.338816	0.204144	-0.011662	-0.978333	-0.032462	0.212165	0.241471	0.676443	-0.662648	
15	0.940811	0.008086	0.004573	0.338803	0.204197	-0.012129	-0.978302	-0.032894	0.211679	0.241863	0.676544	-0.662557	
16	0.940827	0.008065	0.004577	0.338761	0.204165	-0.011869	-0.978313	-0.032868	0.211873	0.241721	0.676616	-0.662474	
17	0.940842	0.008052	0.004582	0.338718	0.204383	-0.011838	-0.978278	-0.032546	0.211863	0.241439	0.676486	-0.662713	
18	0.940847	0.008069	0.004590	0.338705	0.204518	-0.011933	-0.978236	-0.032943	0.211567	0.241541	0.676721	-0.662530	
19	0.940879	0.008062	0.004578	0.338617	0.204392	-0.011850	-0.978276	-0.032554	0.211847	0.241443	0.676488	-0.662714	
20	0.940899	0.008050	0.004584	0.338560	0.204452	-0.011871	-0.978254	-0.032828	0.211693	0.241510	0.676659	-0.662565	
21	0.940899	0.008050	0.004607	0.338559	0.204380	-0.011833	-0.978279	-0.032535	0.211872	0.241434	0.676480	-0.662717	
22	0.940895	0.008049	0.004615	0.338571	0.204313	-0.012005	-0.978282	-0.032806	0.211710	0.241678	0.676564	-0.662595	
23	0.940876	0.008033	0.004611	0.338625	0.204415	-0.011932	-0.978273	-0.032478	0.211809	0.241450	0.676418	-0.662795	
24	0.940871	0.008043	0.004604	0.338639	0.204223	-0.011722	-0.978315	-0.032499	0.212061	0.241465	0.676462	-0.662664	
25	0.940875	0.008066	0.004605	0.338626	0.204182	-0.011853	-0.978328	-0.032292	0.212084	0.241499	0.676281	-0.662830	
26	0.940870	0.008059	0.004612	0.338642	0.204260	-0.011655	-0.978319	-0.032171	0.212199	0.241285	0.676299	-0.662853	
27	0.940879	0.008039	0.004611	0.338616	0.204172	-0.011812	-0.978323	-0.032536	0.212026	0.241567	0.676440	-0.662661	
28	0.940907	0.008037	0.004630	0.338539	0.204283	-0.011880	-0.978293	-0.032728	0.211838	0.241597	0.676556	-0.662592	
29	0.940922	0.008039	0.004644	0.338497	0.204205	-0.011822	-0.978314	-0.032586	0.211978	0.241567	0.676474	-0.662641	
30	0.940912	0.008027	0.004616	0.338526	0.204204	-0.011799	-0.978307	-0.032807	0.211913	0.241631	0.676614	-0.662496	
31	0.940923	0.008027	0.004619	0.338494	0.204167	-0.011926	-0.978321	-0.032568	0.211946	0.241649	0.676416	-0.662681	
32	0.940932	0.008028	0.004623	0.338470	0.204112	-0.012030	-0.978338	-0.032375	0.211990	0.241682	0.676249	-0.662825	
33	0.940920	0.008030	0.004622	0.338501	0.204059	-0.012447	-0.978344	-0.032366	0.211768	0.241964	0.676080	-0.662966	
34	0.940911	0.008049	0.004654	0.338527	0.204169	-0.011868	-0.978319	-0.032644	0.211953	0.241640	0.676483	-0.662614	
35	0.940901	0.008058	0.004660	0.338555	0.204182	-0.011804	-0.978323	-0.032467	0.212049	0.241530	0.676404	-0.662704	
36	0.940881	0.008065	0.004652	0.338608	0.204074	-0.011953	-0.978327	-0.032968	0.211845	0.241869	0.676623	-0.662421	
37	0.940866	0.008067	0.004653	0.338650	0.204051	-0.011995	-0.978343	-0.032621	0.211963	0.241789	0.676395	-0.662646	
38	0.940868	0.008043	0.004649	0.338645	0.204178	-0.011938	-0.978317	-0.032634	0.211907	0.241671	0.676454	-0.662647	
39	0.940852	0.008028	0.004652	0.338690	0.204230	-0.012147	-0.978298	-0.032783	0.211687	0.241812	0.676479	-0.662640	
40	0.940813	0.008029	0.004642	0.338798	0.204146	-0.011880	-0.978327	-0.032547	0.211997	0.241629	0.676415	-0.662673	
41	0.940781	0.008029	0.004620	0.338888	0.204191	-0.011858	-0.978318	-0.032554	0.211978	0.241588	0.676438	-0.662671	
42	0.940777	0.008026	0.004625	0.338898	0.204221	-0.011988	-0.978301	-0.032827	0.211776	0.241739	0.676561	-0.662554	
43	0.940765	0.008010	0.004632	0.338932	0.204075	-0.011739	-0.978351	-0.032313	0.212219	0.241513	0.676310	-0.662752	
44	0.940747	0.007996	0.004634	0.338983	0.204138	-0.011796	-0.978332	-0.032470	0.212083	0.241558	0.676398	-0.662689	
45	0.940742	0.007992	0.004642	0.338997	0.204252	-0.011973	-0.978291	-0.032946	0.211720	0.241750	0.676645	-0.662483	
46	0.940741	0.007986	0.004643	0.339001	0.204227	-0.011900	-0.978300	-0.032853	0.211817	0.241692	0.676610	-0.662509	
