Test Name:,Pendulum Test 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Rate:,74,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Static/Acceleration/X,Static/Acceleration/Y,Static/Acceleration/Z,Static/Angular Velocity/X,Static/Angular Velocity/Y,Static/Angular Velocity/Z,Static/Magnetic Field/X,Static/Magnetic Field/Y,Static/Magnetic Field/Z,Static/Orientation/Scalar,Static/Orientation/X,Static/Orientation/Y,Static/Orientation/Z,Static/Temperature/Scalar,Static/Pressure/Scalar,Upper/Acceleration/X,Upper/Acceleration/Y,Upper/Acceleration/Z,Upper/Angular Velocity/X,Upper/Angular Velocity/Y,Upper/Angular Velocity/Z,Upper/Magnetic Field/X,Upper/Magnetic Field/Y,Upper/Magnetic Field/Z,Upper/Orientation/Scalar,Upper/Orientation/X,Upper/Orientation/Y,Upper/Orientation/Z,Upper/Temperature/Scalar,Upper/Pressure/Scalar,Middle/Acceleration/X,Middle/Acceleration/Y,Middle/Acceleration/Z,Middle/Angular Velocity/X,Middle/Angular Velocity/Y,Middle/Angular Velocity/Z,Middle/Magnetic Field/X,Middle/Magnetic Field/Y,Middle/Magnetic Field/Z,Middle/Orientation/Scalar,Middle/Orientation/X,Middle/Orientation/Y,Middle/Orientation/Z,Middle/Temperature/Scalar,Middle/Pressure/Scalar,Lower/Acceleration/X,Lower/Acceleration/Y,Lower/Acceleration/Z,Lower/Angular Velocity/X,Lower/Angular Velocity/Y,Lower/Angular Velocity/Z,Lower/Magnetic Field/X,Lower/Magnetic Field/Y,Lower/Magnetic Field/Z,Lower/Orientation/Scalar,Lower/Orientation/X,Lower/Orientation/Y,Lower/Orientation/Z,Lower/Temperature/Scalar,Loewr/Pressure/Scalar
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004081,-0.407909,0.913002,0.004527,1,1,1,1,1,1,1,1,1,1,1,0.520168,-0.090796,-0.491972,0.692203,1,1,1,1,1,1,1,1,1,1,1,-0.017628,0.314026,0.01549,0.949124,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004086,-0.408144,0.912897,0.004526,1,1,1,1,1,1,1,1,1,1,1,0.520067,-0.090753,-0.492211,0.692114,1,1,1,1,1,1,1,1,1,1,1,-0.017758,0.313876,0.015302,0.949174,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004093,-0.408299,0.912828,0.004547,1,1,1,1,1,1,1,1,1,1,1,0.51988,-0.090681,-0.492163,0.692298,1,1,1,1,1,1,1,1,1,1,1,-0.017969,0.313873,0.01548,0.949169,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004159,-0.408523,0.912727,0.004576,1,1,1,1,1,1,1,1,1,1,1,0.519532,-0.090616,-0.492225,0.692524,1,1,1,1,1,1,1,1,1,1,1,-0.018322,0.313738,0.01567,0.949203,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004168,-0.408545,0.912717,0.004593,1,1,1,1,1,1,1,1,1,1,1,0.519531,-0.092407,-0.492136,0.692352,1,1,1,1,1,1,1,1,1,1,1,-0.01709,0.31262,0.016246,0.949586,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004067,-0.408334,0.912812,0.004610,1,1,1,1,1,1,1,1,1,1,1,0.518508,-0.08712,-0.491909,0.693964,1,1,1,1,1,1,1,1,1,1,1,-0.021596,0.315771,0.015862,0.948457,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.003930,-0.408116,0.912910,0.004647,1,1,1,1,1,1,1,1,1,1,1,0.527368,-0.128956,-0.48863,0.683003,1,1,1,1,1,1,1,1,1,1,1,0.015439,0.293669,0.022925,0.955508,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.003861,-0.408015,0.912955,0.004685,1,1,1,1,1,1,1,1,1,1,1,0.528737,-0.131363,-0.487775,0.682097,1,1,1,1,1,1,1,1,1,1,1,0.018394,0.293098,0.023301,0.955621,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.003826,-0.408014,0.912955,0.004688,1,1,1,1,1,1,1,1,1,1,1,0.525096,-0.113929,-0.490274,0.68624,1,1,1,1,1,1,1,1,1,1,1,0.002798,0.301812,0.019378,0.953166,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.003819,-0.408102,0.912917,0.004660,1,1,1,1,1,1,1,1,1,1,1,0.524861,-0.114171,-0.489836,0.686692,1,1,1,1,1,1,1,1,1,1,1,0.002783,0.301806,0.020092,0.953154,1,1
