IMU_Q0,IMU_Q1,IMU_Q2,IMU_Q3,OpTr_Q0, OpTr_Q1, OpTr_Q2, OpTr_Q3
0.039556,0.865816,-0.496845,0.044172,0.753503,0.329019,-0.502923,-0.266548
0.039585,0.865937,-0.496634,0.044158,0.753474,0.329178,-0.502809,-0.26665
0.039633,0.866094,-0.496364,0.044056,0.75339,0.329442,-0.502748,-0.266676
0.039581,0.866184,-0.496221,0.043953,0.75337,0.329462,-0.502763,-0.26668
0.039411,0.866187,-0.496236,0.043873,0.75315,0.3297,-0.50294,-0.266674
0.039407,0.866231,-0.496162,0.043844,0.753146,0.329608,-0.503018,-0.26665
0.039409,0.866338,-0.495969,0.043915,0.753229,0.329602,-0.502828,-0.266783
0.039378,0.86643,-0.495802,0.044023,0.753379,0.329363,-0.502763,-0.266777
0.039442,0.866427,-0.495796,0.044085,0.753416,0.329393,-0.502688,-0.266778
0.039537,0.866338,-0.495938,0.044157,0.753349,0.329408,-0.502793,-0.266747
0.039561,0.866259,-0.496066,0.044233,0.753283,0.329529,-0.502879,-0.266625
0.039591,0.86628,-0.496021,0.044307,0.753313,0.329633,-0.502873,-0.266421
0.039698,0.866377,-0.495837,0.044367,0.753284,0.329694,-0.50285,-0.266474
0.039697,0.866412,-0.495779,0.044346,0.753301,0.329316,-0.503003,-0.2666
0.03966,0.866448,-0.495727,0.04426,0.753333,0.32929,-0.502865,-0.266803
0.039659,0.866493,-0.495654,0.044201,0.753395,0.329459,-0.502709,-0.266715
0.039626,0.866446,-0.495737,0.044216,0.753365,0.329424,-0.502823,-0.266628
0.039546,0.866362,-0.495891,0.044188,0.753449,0.329329,-0.502847,-0.26646
0.039525,0.86636,-0.495903,0.044121,0.753563,0.329315,-0.50272,-0.266396
0.039607,0.866464,-0.495719,0.044063,0.75359,0.329249,-0.502759,-0.266328
0.039701,0.86658,-0.495513,0.044032,0.75357,0.329227,-0.502825,-0.266286
0.039737,0.866596,-0.495482,0.04404,0.753579,0.329205,-0.502782,-0.266369
0.039676,0.866563,-0.495546,0.044022,0.753499,0.329309,-0.502812,-0.266412
0.03954,0.866563,-0.49556,0.043981,0.753552,0.329408,-0.502629,-0.266484
0.039414,0.866585,-0.495529,0.044003,0.753552,0.329473,-0.502551,-0.266552
0.039387,0.866587,-0.49553,0.043995,0.753619,0.329318,-0.502532,-0.266588
0.039382,0.866589,-0.495529,0.043957,0.753853,0.328966,-0.502407,-0.266599
0.039345,0.866613,-0.49549,0.043957,0.753829,0.32892,-0.502445,-0.266651
0.039371,0.866626,-0.495461,0.044001,0.753905,0.328859,-0.502335,-0.266717
0.039405,0.866662,-0.495391,0.044064,0.753961,0.328705,-0.502364,-0.266695
0.03942,0.866699,-0.495324,0.044066,0.754073,0.328607,-0.50226,-0.266695
0.039431,0.866724,-0.495289,0.043969,0.754187,0.328389,-0.502143,-0.266863
0.039423,0.866791,-0.495182,0.043862,0.754274,0.328394,-0.502068,-0.26675
0.039389,0.866853,-0.495077,0.043834,0.754284,0.328751,-0.501826,-0.266737
0.039336,0.866908,-0.49499,0.043794,0.754402,0.328679,-0.501714,-0.266704
0.039283,0.866978,-0.494884,0.043651,0.754504,0.328454,-0.501539,-0.267021
0.039262,0.867019,-0.494824,0.043536,0.754683,0.328583,-0.501067,-0.267242
0.039236,0.867068,-0.494749,0.043444,0.754972,0.328244,-0.500705,-0.26752
0.039213,0.867135,-0.494639,0.043374,0.755383,0.32793,-0.500178,-0.267734
0.039211,0.867217,-0.494498,0.043343,0.755671,0.327452,-0.499817,-0.268179
0.039157,0.867399,-0.494189,0.043269,0.756095,0.326845,-0.499344,-0.268603
0.03912,0.867702,-0.493667,0.043192,0.756584,0.326731,-0.498471,-0.268988
0.039157,0.86798,-0.493177,0.043158,0.757025,0.326526,-0.49769,-0.269443
0.039234,0.868152,-0.492875,0.043081,0.757515,0.326128,-0.497036,-0.269752
0.039312,0.868501,-0.492277,0.042804,0.757874,0.326255,-0.496278,-0.269986
0.039403,0.868815,-0.49174,0.04254,0.758558,0.325866,-0.495253,-0.270418
0.03947,0.869163,-0.491128,0.042422,0.759388,0.325092,-0.494239,-0.270874
0.039486,0.869885,-0.489857,0.042309,0.760062,0.324549,-0.493267,-0.271405
0.039626,0.870327,-0.489071,0.042173,0.760857,0.324006,-0.492046,-0.272043
0.039778,0.870795,-0.488236,0.042045,0.761642,0.323006,-0.491068,-0.2728
0.039844,0.871454,-0.487064,0.041939,0.762065,0.322354,-0.490511,-0.273394
0.039932,0.871758,-0.486522,0.041833,0.762301,0.321668,-0.49039,-0.273759
0.039974,0.872391,-0.485394,0.04169,0.762288,0.321235,-0.490595,-0.273938
0.040024,0.873111,-0.484111,0.041477,0.762452,0.320772,-0.490683,-0.273867
0.040144,0.873668,-0.483127,0.0411,0.762737,0.320222,-0.490523,-0.274004
0.040262,0.874659,-0.48137,0.04052,0.763166,0.319985,-0.489826,-0.274333
0.04037,0.875194,-0.480417,0.0402,0.763571,0.31952,-0.489319,-0.274652
0.04055,0.875341,-0.48016,0.039853,0.763964,0.319357,-0.488674,-0.274895
0.04076,0.87564,-0.47965,0.039218,0.764186,0.319095,-0.488404,-0.275062
0.040773,0.875718,-0.47953,0.03891,0.764526,0.318855,-0.487984,-0.275143
0.040773,0.875935,-0.479166,0.038528,0.765032,0.31831,-0.487528,-0.275175
0.04088,0.876391,-0.478358,0.038076,0.765749,0.317722,-0.486531,-0.275626
0.040993,0.876746,-0.477711,0.03792,0.766518,0.317336,-0.485249,-0.27619
0.041009,0.876903,-0.47743,0.037804,0.76736,0.316924,-0.483894,-0.276704
0.040981,0.877168,-0.476963,0.037575,0.768149,0.316687,-0.482491,-0.277233
0.040947,0.877555,-0.476271,0.037355,0.769495,0.315696,-0.480559,-0.277986
0.040913,0.87801,-0.475444,0.037242,0.771419,0.314297,-0.477686,-0.279186
0.040949,0.878922,-0.473767,0.037064,0.773406,0.312735,-0.474659,-0.280605
0.040985,0.879667,-0.472392,0.036914,0.775646,0.310479,-0.471518,-0.282217
0.040988,0.880345,-0.471135,0.036789,0.778378,0.308182,-0.467401,-0.284056
0.040996,0.881593,-0.468812,0.036575,0.780996,0.305444,-0.463667,-0.285941
0.040976,0.882586,-0.466953,0.036446,0.783707,0.303032,-0.459518,-0.287782
0.041048,0.884407,-0.463516,0.03608,0.78658,0.300361,-0.455234,-0.289545
0.04119,0.886826,-0.458907,0.035465,0.789549,0.297331,-0.450873,-0.29141
0.041229,0.88832,-0.456047,0.03489,0.792317,0.294472,-0.44681,-0.293056
