IMU_Q0,IMU_Q1,IMU_Q2,IMU_Q3,Opt_Q0,Opt_Q1,Opt_Q2,Opt_Q3
-0.58427,-0.382509,0.320248,0.640123,0.7534,0.329062,-0.503068,-0.266514
-0.584251,-0.382555,0.320087,0.640192,0.753503,0.329019,-0.502923,-0.266548
-0.584316,-0.382396,0.319947,0.640298,0.753474,0.329178,-0.502809,-0.26665
-0.584394,-0.382133,0.319829,0.640443,0.75339,0.329442,-0.502748,-0.266676
-0.584494,-0.381959,0.3198,0.64047,0.75337,0.329462,-0.502763,-0.26668
-0.584616,-0.381913,0.319868,0.640352,0.75315,0.3297,-0.50294,-0.266674
-0.58465,-0.38184,0.319836,0.64038,0.753146,0.329608,-0.503018,-0.26665
-0.584725,-0.381754,0.319649,0.640457,0.753229,0.329602,-0.502828,-0.266783
-0.584811,-0.381712,0.319455,0.6405,0.753379,0.329363,-0.502763,-0.266777
-0.584764,-0.381752,0.319406,0.640543,0.753416,0.329393,-0.502688,-0.266778
-0.584634,-0.381903,0.319456,0.640547,0.753349,0.329408,-0.502793,-0.266747
-0.584561,-0.382047,0.319493,0.640509,0.753283,0.329529,-0.502879,-0.266625
-0.584555,-0.382068,0.319409,0.640545,0.753313,0.329633,-0.502873,-0.266421
-0.584548,-0.38198,0.319236,0.640689,0.753284,0.329694,-0.50285,-0.266474
-0.584573,-0.381924,0.31921,0.640713,0.753301,0.329316,-0.503003,-0.2666
-0.584625,-0.381827,0.319234,0.640712,0.753333,0.32929,-0.502865,-0.266803
-0.584657,-0.381734,0.319224,0.640743,0.753395,0.329459,-0.502709,-0.266715
-0.584647,-0.381803,0.319272,0.640687,0.753365,0.329424,-0.502823,-0.266628
-0.584645,-0.381892,0.319401,0.640571,0.753449,0.329329,-0.502847,-0.26646
-0.584658,-0.381853,0.319457,0.640555,0.753563,0.329315,-0.50272,-0.266396
-0.584674,-0.381682,0.319368,0.640686,0.75359,0.329249,-0.502759,-0.266328
-0.584689,-0.381514,0.319244,0.640835,0.75357,0.329227,-0.502825,-0.266286
-0.584675,-0.381498,0.319216,0.640871,0.753579,0.329205,-0.502782,-0.266369
-0.584695,-0.38153,0.319274,0.640805,0.753499,0.329309,-0.502812,-0.266412
-0.584791,-0.381511,0.319313,0.640709,0.753552,0.329408,-0.502629,-0.266484
-0.584896,-0.381505,0.319276,0.640635,0.753552,0.329473,-0.502551,-0.266552
-0.584916,-0.3815,0.319282,0.640617,0.753619,0.329318,-0.502532,-0.266588
-0.584921,-0.381472,0.319308,0.640616,0.753853,0.328966,-0.502407,-0.266599
-0.584964,-0.381445,0.319281,0.640606,0.753829,0.32892,-0.502445,-0.266651
-0.584955,-0.381455,0.319229,0.640634,0.753905,0.328859,-0.502335,-0.266717
-0.584956,-0.381451,0.319135,0.640683,0.753961,0.328705,-0.502364,-0.266695
-0.584972,-0.381405,0.319086,0.64072,0.754073,0.328607,-0.50226,-0.266695
-0.584982,-0.381311,0.31913,0.640745,0.754187,0.328389,-0.502143,-0.266863
-0.585035,-0.38116,0.31913,0.640787,0.754274,0.328394,-0.502068,-0.26675
-0.585103,-0.381066,0.319076,0.640807,0.754284,0.328751,-0.501826,-0.266737
-0.585179,-0.380976,0.319042,0.640808,0.754402,0.328679,-0.501714,-0.266704
-0.585266,-0.3808,0.319068,0.64082,0.754504,0.328454,-0.501539,-0.267021
-0.58531,-0.380676,0.319107,0.640835,0.754683,0.328583,-0.501067,-0.267242
-0.585363,-0.380558,0.319119,0.640851,0.754972,0.328244,-0.500705,-0.26752
-0.585426,-0.380431,0.319091,0.640882,0.755383,0.32793,-0.500178,-0.267734
-0.585486,-0.380309,0.319013,0.640939,0.755671,0.327452,-0.499817,-0.268179
-0.585653,-0.380038,0.318847,0.641029,0.756095,0.326845,-0.499344,-0.268603
-0.585893,-0.379615,0.318532,0.641217,0.756584,0.326731,-0.498471,-0.268988
