Martin	// User ID
30-5-2023	// Evaluation date
MP_H_R4	30-5-2023	11:53:58:528	// Source file name and timestamp
100.000	// Sampling rate
34.514	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
0	0.759323	-0.480686	0.116598	0.422818	0.009074	-0.369348	-0.878511	0.302850	0.410105	-0.223717	0.864794	0.184109	
1	0.759277	-0.480834	0.116584	0.422736	0.009037	-0.369378	-0.878523	0.302780	0.410177	-0.223698	0.864759	0.184134	
2	0.759249	-0.480952	0.116637	0.422637	0.009069	-0.369479	-0.878481	0.302776	0.410201	-0.223600	0.864783	0.184088	
3	0.759234	-0.481021	0.116790	0.422543	0.009160	-0.369589	-0.878331	0.303077	0.410034	-0.223531	0.864939	0.183811	
4	0.759276	-0.480886	0.117014	0.422559	0.009249	-0.369723	-0.878238	0.303180	0.409980	-0.223399	0.865027	0.183680	
5	0.759255	-0.480784	0.117184	0.422666	0.009751	-0.369835	-0.878103	0.303416	0.409593	-0.223076	0.865307	0.183613	
6	0.759150	-0.480765	0.117401	0.422816	0.009502	-0.369728	-0.878091	0.303589	0.409613	-0.223343	0.865266	0.183440	
7	0.759034	-0.480800	0.117603	0.422928	0.009436	-0.369594	-0.878127	0.303652	0.409565	-0.223501	0.865247	0.183445	
8	0.758955	-0.480935	0.117601	0.422916	0.009324	-0.369860	-0.878069	0.303498	0.409826	-0.223322	0.865186	0.183366	
9	0.758851	-0.481219	0.117547	0.422795	0.009382	-0.370023	-0.878034	0.303400	0.409909	-0.223138	0.865193	0.183369	
10	0.758793	-0.481425	0.117462	0.422690	0.009234	-0.370269	-0.878005	0.303188	0.410214	-0.222982	0.865096	0.183335	
11	0.758791	-0.481510	0.117330	0.422631	0.009021	-0.370651	-0.877938	0.302920	0.410646	-0.222743	0.864974	0.183237	
12	0.758743	-0.481666	0.117250	0.422562	0.008816	-0.370843	-0.877968	0.302606	0.411017	-0.222638	0.864812	0.183297	
13	0.758672	-0.481732	0.117330	0.422593	0.008651	-0.371059	-0.878036	0.302148	0.411448	-0.222457	0.864616	0.183475	
14	0.758577	-0.481753	0.117630	0.422655	0.008513	-0.370923	-0.878165	0.301942	0.411584	-0.222595	0.864474	0.183672	
15	0.758471	-0.481806	0.118011	0.422679	0.008366	-0.370769	-0.878272	0.301827	0.411671	-0.222775	0.864358	0.183803	
16	0.758397	-0.481792	0.118284	0.422751	0.008154	-0.370865	-0.878266	0.301731	0.411892	-0.222798	0.864260	0.183740	
17	0.758291	-0.481701	0.118756	0.422914	0.008427	-0.370703	-0.878291	0.301851	0.411592	-0.222796	0.864381	0.183847	
18	0.758203	-0.481569	0.119215	0.423093	0.007185	-0.372061	-0.877846	0.301504	0.413111	-0.222367	0.863985	0.182818	
19	0.758178	-0.481368	0.119445	0.423301	0.008678	-0.371154	-0.877948	0.302285	0.411399	-0.222399	0.864688	0.183315	
20	0.758129	-0.481060	0.119720	0.423661	0.008753	-0.371458	-0.877792	0.302363	0.411439	-0.222135	0.864783	0.183096	
21	0.758058	-0.480888	0.119773	0.423969	0.009046	-0.371502	-0.877648	0.302718	0.411091	-0.222014	0.865023	0.182892	
22	0.757997	-0.480891	0.119715	0.424091	0.009243	-0.371490	-0.877550	0.303010	0.410811	-0.221978	0.865198	0.182738	
23	0.757930	-0.480992	0.119848	0.424058	0.009272	-0.371534	-0.877506	0.303083	0.410774	-0.221943	0.865240	0.182663	
24	0.757818	-0.481221	0.120059	0.423938	0.009667	-0.371901	-0.877386	0.302968	0.410741	-0.221401	0.865390	0.182686	
25	0.757768	-0.481427	0.120152	0.423769	0.009540	-0.372143	-0.877288	0.302959	0.410926	-0.221282	0.865372	0.182496	
26	0.757772	-0.481642	0.120129	0.423523	0.010387	-0.371960	-0.877333	0.303025	0.410288	-0.220952	0.865678	0.182882	
27	0.757755	-0.481917	0.120091	0.423252	0.010967	-0.372262	-0.877260	0.302846	0.410147	-0.220338	0.865862	0.183067	
28	0.757753	-0.482012	0.120043	0.423160	0.010030	-0.373744	-0.877068	0.301606	0.411992	-0.219428	0.865271	0.182809	
