Martin	// User ID
30-5-2023	// Evaluation date
MP_H_R3	30-5-2023	11:50:42:011	// Source file name and timestamp
100.000	// Sampling rate
34.321	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
44	0.747041	-0.508053	0.146743	0.402839	0.006975	-0.414260	-0.859001	0.300762	0.430783	-0.188737	0.868445	0.156870	
45	0.746812	-0.507928	0.147443	0.403165	0.007585	-0.413600	-0.859338	0.300692	0.430180	-0.188902	0.868577	0.157589	
46	0.746696	-0.508094	0.147338	0.403208	0.008585	-0.412577	-0.859711	0.301004	0.428991	-0.189223	0.868952	0.158380	
47	0.746550	-0.508155	0.147493	0.403345	0.010161	-0.411546	-0.859851	0.301966	0.427099	-0.189365	0.869764	0.158865	
48	0.746586	-0.508109	0.147535	0.403322	0.011901	-0.410824	-0.859757	0.303151	0.425110	-0.189213	0.870741	0.159029	
49	0.746836	-0.507839	0.147504	0.403210	0.014049	-0.409958	-0.859759	0.304224	0.422866	-0.188912	0.871807	0.159531	
50	0.747160	-0.507411	0.147494	0.403153	0.015664	-0.409629	-0.859830	0.304388	0.421641	-0.188278	0.872409	0.160228	
51	0.747582	-0.507118	0.147037	0.402904	0.017889	-0.409798	-0.859705	0.304391	0.420317	-0.186851	0.873218	0.160967	
52	0.748536	-0.506883	0.145637	0.401937	0.016422	-0.410711	-0.861207	0.298946	0.424441	-0.185715	0.870846	0.164278	
53	0.749408	-0.506910	0.144247	0.400778	0.014394	-0.410609	-0.863186	0.293435	0.428531	-0.185691	0.868123	0.168056	
54	0.749983	-0.507359	0.143259	0.399486	0.013668	-0.410237	-0.864918	0.288852	0.431207	-0.185332	0.866153	0.171730	
55	0.750953	-0.507650	0.142279	0.397640	0.013292	-0.410566	-0.866176	0.284602	0.433762	-0.184276	0.864486	0.174807	
56	0.751707	-0.506285	0.143617	0.397475	0.013281	-0.412048	-0.866521	0.281391	0.436009	-0.182321	0.863438	0.176438	
57	0.752113	-0.504015	0.146135	0.398673	0.013513	-0.414343	-0.866275	0.278755	0.438127	-0.179705	0.862764	0.177172	
58	0.752728	-0.500938	0.148816	0.400394	0.014071	-0.417442	-0.865585	0.276236	0.440296	-0.176273	0.862318	0.177412	
59	0.753796	-0.495630	0.153326	0.403279	0.013087	-0.421340	-0.865007	0.272147	0.444533	-0.172698	0.860789	0.177786	
60	0.754429	-0.492662	0.156009	0.404701	0.013185	-0.425765	-0.864239	0.267660	0.448492	-0.167956	0.859520	0.178527	
61	0.754802	-0.491378	0.158099	0.404753	0.011445	-0.430897	-0.863984	0.260248	0.455329	-0.162956	0.856494	0.180386	
62	0.755270	-0.489345	0.161703	0.404921	0.009728	-0.436535	-0.863660	0.251863	0.462800	-0.157246	0.853074	0.182629	
63	0.755156	-0.489144	0.163760	0.404550	0.008693	-0.442757	-0.862842	0.243711	0.469911	-0.150675	0.849965	0.184500	
