Martin	// User ID
30-5-2023	// Evaluation date
MP_H_R1	30-5-2023	11:46:46:439	// Source file name and timestamp
100.000	// Sampling rate
37.408	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
0	0.376988	-0.117715	0.108824	0.912239	0.543249	0.153630	0.825211	-0.017453	-0.720279	0.547516	-0.380262	-0.191896	
1	0.376823	-0.118475	0.109964	0.912072	0.543632	0.154711	0.824766	-0.016989	-0.721154	0.546723	-0.380005	-0.191380	
2	0.376455	-0.119691	0.112241	0.911788	0.543362	0.156484	0.824589	-0.017975	-0.721550	0.545766	-0.381258	-0.190123	
3	0.376203	-0.120363	0.113952	0.911592	0.543219	0.158976	0.824226	-0.017079	-0.723109	0.543673	-0.381552	-0.189608	
4	0.376082	-0.120411	0.115260	0.911471	0.542945	0.160967	0.823988	-0.018526	-0.723424	0.542725	-0.383119	-0.187953	
5	0.375796	-0.120648	0.117588	0.911260	0.542602	0.162559	0.823920	-0.017677	-0.724434	0.541206	-0.383344	-0.187988	
6	0.375638	-0.120803	0.118782	0.911150	0.542218	0.164302	0.823870	-0.015580	-0.726002	0.539118	-0.382938	-0.188764	
7	0.375459	-0.121371	0.120296	0.910949	0.542217	0.165947	0.823578	-0.013459	-0.727671	0.537206	-0.382189	-0.189302	
8	0.375214	-0.122283	0.122372	0.910652	0.542821	0.167232	0.822945	-0.011828	-0.729189	0.535910	-0.381147	-0.189236	
9	0.375117	-0.122966	0.123453	0.910454	0.542173	0.169258	0.822984	-0.009920	-0.730715	0.533600	-0.381113	-0.189946	
10	0.375026	-0.124065	0.125531	0.910058	0.542049	0.171549	0.822618	-0.007344	-0.732830	0.531022	-0.380357	-0.190534	
11	0.374980	-0.124688	0.127438	0.909727	0.541893	0.173222	0.822373	-0.006989	-0.733743	0.529673	-0.380718	-0.190058	
12	0.374985	-0.124165	0.129035	0.909571	0.541902	0.175664	0.821858	-0.005863	-0.735401	0.527553	-0.380712	-0.189556	
13	0.374895	-0.123112	0.132440	0.909261	0.542014	0.178111	0.821258	-0.005780	-0.736684	0.525839	-0.381216	-0.188320	
14	0.374780	-0.121847	0.135785	0.908986	0.541474	0.180803	0.821028	-0.005325	-0.737988	0.523610	-0.382071	-0.187691	
15	0.374701	-0.121118	0.137793	0.908814	0.541796	0.184009	0.820109	-0.004314	-0.740084	0.521080	-0.382067	-0.186483	
16	0.374589	-0.121221	0.139590	0.908572	0.542282	0.186324	0.819273	-0.002232	-0.742222	0.518834	-0.381090	-0.186247	
17	0.374354	-0.121554	0.142568	0.908162	0.541403	0.188649	0.819323	-0.001987	-0.743127	0.516824	-0.382217	-0.185917	
18	0.374146	-0.122042	0.144411	0.907891	0.541787	0.191770	0.818347	-0.000018	-0.745568	0.514008	-0.381573	-0.185275	
19	0.373829	-0.122964	0.146568	0.907551	0.541012	0.193670	0.818410	0.001707	-0.746880	0.511781	-0.381656	-0.185982	
20	0.373379	-0.124001	0.149955	0.907042	0.540885	0.196702	0.817767	0.003069	-0.748838	0.509081	-0.381717	-0.185390	
21	0.373119	-0.124300	0.151812	0.906799	0.540121	0.199393	0.817611	0.004800	-0.750533	0.506283	-0.381969	-0.185680	
22	0.372781	-0.124486	0.154975	0.906377	0.539661	0.202127	0.817225	0.007351	-0.752677	0.503241	-0.381513	-0.186210	
23	0.372508	-0.124666	0.158308	0.905889	0.539562	0.204753	0.816610	0.009867	-0.754884	0.500395	-0.380761	-0.186484	
24	0.372533	-0.124580	0.160213	0.905556	0.539487	0.207749	0.815852	0.013383	-0.757660	0.496909	-0.379485	-0.187148	
25	0.372530	-0.124537	0.164146	0.904858	0.539526	0.209884	0.815230	0.016125	-0.759757	0.494360	-0.378355	-0.187685	
26	0.372575	-0.124550	0.167078	0.904301	0.539386	0.211446	0.814858	0.018994	-0.761557	0.492113	-0.377147	-0.188724	
27	0.372690	-0.124391	0.169879	0.903753	0.539054	0.213865	0.814331	0.023422	-0.764286	0.488592	-0.375358	-0.190397	
28	0.372693	-0.123976	0.174717	0.902886	0.538472	0.215924	0.814082	0.026368	-0.766174	0.485806	-0.374540	-0.191546	
29	0.372505	-0.123411	0.177385	0.902521	0.537867	0.217863	0.813889	0.028622	-0.767728	0.483356	-0.374114	-0.192352	
30	0.372082	-0.122023	0.181338	0.902099	0.537521	0.219842	0.813488	0.031273	-0.769544	0.480802	-0.373253	-0.193167	
31	0.371664	-0.119841	0.187206	0.901364	0.536850	0.222358	0.813196	0.032577	-0.770977	0.478269	-0.373562	-0.193144	
32	0.371558	-0.117829	0.191144	0.900847	0.536436	0.225102	0.812648	0.034175	-0.772721	0.475534	-0.373539	-0.192971	
33	0.371617	-0.116628	0.193423	0.900492	0.535997	0.227091	0.812384	0.034192	-0.773499	0.473943	-0.374311	-0.192271	
34	0.371870	-0.115100	0.196989	0.899811	0.535706	0.229943	0.811778	0.034079	-0.774687	0.471819	-0.375230	-0.190919	
35	0.372165	-0.113568	0.200916	0.899015	0.535367	0.232259	0.811374	0.033327	-0.775360	0.470312	-0.376448	-0.189504	
36	0.372247	-0.113441	0.202781	0.898579	0.535546	0.233846	0.810752	0.034473	-0.776601	0.468768	-0.375965	-0.189201	
37	0.372293	-0.113508	0.206287	0.897752	0.535603	0.235142	0.810307	0.035222	-0.777510	0.467550	-0.375750	-0.188910	
38	0.372311	-0.113801	0.209165	0.897042	0.535671	0.236416	0.809847	0.036229	-0.778509	0.466250	-0.375365	-0.188772	
39	0.372246	-0.114940	0.210532	0.896603	0.535764	0.237495	0.809441	0.036856	-0.779283	0.465247	-0.375145	-0.188494	
40	0.372139	-0.116566	0.213356	0.895770	0.536163	0.238752	0.808794	0.037130	-0.780120	0.464344	-0.374936	-0.187672	
41	0.372025	-0.117381	0.214865	0.895350	0.536092	0.240360	0.808374	0.036928	-0.780763	0.463218	-0.375452	-0.186744	
