Martin	// User ID
30-5-2023	// Evaluation date
MP_H_R5	30-5-2023	11:55:06:943	// Source file name and timestamp
100.000	// Sampling rate
33.156	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
44	0.567662	-0.720739	0.173828	0.357880	0.071513	0.583361	0.663098	-0.463549	-0.440057	0.112091	-0.878394	0.149028	
45	0.559578	-0.725573	0.176374	0.359596	0.076636	0.588496	0.656336	-0.465855	-0.442769	0.110044	-0.875676	0.158232	
46	0.555927	-0.726469	0.178596	0.362341	0.080893	0.593632	0.648859	-0.469084	-0.444320	0.107558	-0.873362	0.168076	
47	0.548523	-0.728798	0.182369	0.367040	0.084410	0.596128	0.642671	-0.473793	-0.443794	0.107330	-0.871928	0.176832	
48	0.538385	-0.733445	0.186276	0.370812	0.087725	0.598592	0.636803	-0.477989	-0.443444	0.106942	-0.870458	0.184997	
49	0.531225	-0.737374	0.188722	0.372107	0.091066	0.599155	0.631648	-0.483467	-0.441779	0.108496	-0.869406	0.192856	
50	0.525769	-0.740706	0.190311	0.372429	0.091523	0.597834	0.627679	-0.490139	-0.437219	0.110468	-0.870090	0.198946	
51	0.515868	-0.746938	0.192733	0.372584	0.093521	0.595794	0.623158	-0.497954	-0.432546	0.113969	-0.870238	0.206398	
52	0.507132	-0.752431	0.194470	0.372621	0.092800	0.593471	0.618632	-0.506434	-0.425768	0.116329	-0.871654	0.213092	
53	0.502580	-0.755636	0.193953	0.372573	0.092016	0.591092	0.613668	-0.515320	-0.418599	0.118665	-0.873033	0.220241	
54	0.494076	-0.761649	0.192394	0.372511	0.091820	0.590122	0.608056	-0.523062	-0.412811	0.119792	-0.873694	0.227805	
55	0.489256	-0.765490	0.190035	0.372210	0.093087	0.590725	0.601816	-0.529335	-0.409176	0.119998	-0.873207	0.235975	
56	0.486584	-0.769135	0.184667	0.370898	0.096709	0.590916	0.596008	-0.535014	-0.407151	0.121760	-0.871617	0.244307	
57	0.481084	-0.775482	0.177024	0.368575	0.101573	0.593236	0.590594	-0.537543	-0.408499	0.121916	-0.868846	0.251738	
58	0.478465	-0.779092	0.172374	0.366570	0.109352	0.595688	0.585936	-0.538402	-0.412657	0.123344	-0.864564	0.258901	
59	0.474085	-0.784781	0.165585	0.363240	0.117373	0.598298	0.581934	-0.538160	-0.417729	0.124665	-0.860030	0.265161	
60	0.468393	-0.790938	0.159033	0.360186	0.125643	0.599729	0.578977	-0.537889	-0.422676	0.127256	-0.855569	0.270468	
61	0.464404	-0.793643	0.157771	0.359956	0.133688	0.599569	0.577882	-0.537305	-0.427380	0.131321	-0.851535	0.273841	
62	0.456216	-0.798657	0.155659	0.360255	0.142775	0.599960	0.577117	-0.535349	-0.433704	0.135266	-0.846753	0.276791	
63	0.449655	-0.802019	0.154681	0.361455	0.153493	0.600623	0.576588	-0.532202	-0.441747	0.139632	-0.840940	0.279610	
64	0.443993	-0.803102	0.156160	0.365392	0.162054	0.599853	0.576658	-0.530452	-0.447308	0.144398	-0.836529	0.281574	
65	0.433532	-0.805247	0.157703	0.372500	0.172426	0.599614	0.575608	-0.528590	-0.453924	0.149392	-0.830903	0.285018	
66	0.425663	-0.805173	0.159533	0.380862	0.180681	0.599347	0.573762	-0.528143	-0.458365	0.153397	-0.826365	0.288949	
67	0.421814	-0.803987	0.160962	0.387000	0.188197	0.598920	0.571719	-0.528218	-0.461981	0.157192	-0.822213	0.292966	
