Martin	// User ID
30-5-2023	// Evaluation date
MP_H_R2	30-5-2023	11:49:06:088	// Source file name and timestamp
100.000	// Sampling rate
57.613	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
0	0.117291	-0.673656	0.059542	0.727245	0.585266	0.429925	0.479945	-0.492221	-0.590771	0.439774	-0.532342	0.417372	
1	0.115369	-0.673255	0.061917	0.727725	0.587557	0.430843	0.478553	-0.490039	-0.593060	0.439169	-0.529750	0.418062	
2	0.114151	-0.672598	0.063452	0.728393	0.589035	0.431222	0.478292	-0.488183	-0.594824	0.438996	-0.528131	0.417786	
3	0.111934	-0.671356	0.066157	0.729640	0.592086	0.431794	0.476927	-0.485314	-0.597662	0.438800	-0.524746	0.418206	
4	0.110814	-0.670402	0.067467	0.730568	0.592932	0.433267	0.475797	-0.484075	-0.599100	0.437475	-0.523606	0.418964	
5	0.109549	-0.668976	0.068863	0.731934	0.592990	0.434287	0.474703	-0.484163	-0.599284	0.436480	-0.523361	0.420043	
6	0.107585	-0.667227	0.071062	0.733610	0.593835	0.435126	0.473357	-0.483693	-0.599976	0.435743	-0.522280	0.421165	
7	0.106512	-0.666461	0.072215	0.734350	0.595261	0.436119	0.472277	-0.482098	-0.601656	0.434935	-0.520565	0.421726	
8	0.104501	-0.665271	0.074416	0.735497	0.595547	0.437297	0.471648	-0.481294	-0.602593	0.433828	-0.520074	0.422135	
9	0.102697	-0.664339	0.076458	0.736384	0.595826	0.439107	0.470165	-0.480751	-0.603470	0.432088	-0.519457	0.423425	
10	0.101859	-0.664366	0.077499	0.736367	0.594802	0.440640	0.469169	-0.481589	-0.603021	0.430470	-0.520301	0.424675	
11	0.100112	-0.664299	0.079588	0.736445	0.596159	0.441883	0.467609	-0.480287	-0.604509	0.429387	-0.518582	0.425756	
12	0.098684	-0.664586	0.081368	0.736184	0.596899	0.443827	0.466026	-0.479112	-0.605960	0.427556	-0.517423	0.426944	
13	0.097983	-0.665065	0.082316	0.735739	0.597810	0.445268	0.464762	-0.477865	-0.607375	0.426232	-0.516159	0.427786	
14	0.097076	-0.665407	0.083515	0.735415	0.598039	0.446094	0.464706	-0.476862	-0.608364	0.425462	-0.515791	0.427593	
15	0.095539	-0.665991	0.085596	0.734848	0.599286	0.447620	0.463689	-0.474853	-0.610424	0.424095	-0.514153	0.427987	
16	0.094513	-0.666290	0.086997	0.734545	0.601399	0.448276	0.462960	-0.472267	-0.612854	0.423663	-0.511701	0.427880	
17	0.093413	-0.666269	0.088578	0.734516	0.602945	0.448634	0.462620	-0.470284	-0.614670	0.423464	-0.509927	0.427590	
