Martin	// User ID
7-7-2023	// Evaluation date
CON_HO_R2	7-7-2023	09:52:42:067	// Source file name and timestamp
100.000	// Sampling rate
34.543	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.235235	-0.006068	-0.015181	-0.971801	0.195279	-0.001760	-0.023443	-0.980466	0.239501	-0.007061	-0.026960	-0.970496	0.247296	0.007499	-0.024370	-0.968605	0.998856	-0.019798	-0.043233	0.005092	0.624151	-0.594933	-0.360784	-0.355423	
1	0.235216	-0.006059	-0.015201	-0.971805	0.195228	-0.001747	-0.023449	-0.980476	0.239407	-0.007071	-0.026957	-0.970519	0.247278	0.007489	-0.024376	-0.968609	0.998857	-0.019769	-0.043204	0.005175	0.624206	-0.594898	-0.360806	-0.355362	
2	0.235172	-0.006047	-0.015203	-0.971816	0.195166	-0.001754	-0.023446	-0.980488	0.239327	-0.007077	-0.026949	-0.970539	0.247291	0.007490	-0.024363	-0.968606	0.998859	-0.019740	-0.043202	0.005035	0.624177	-0.594926	-0.360711	-0.355462	
3	0.235100	-0.006069	-0.015205	-0.971833	0.195106	-0.001766	-0.023451	-0.980500	0.239302	-0.007074	-0.026946	-0.970546	0.247421	0.007494	-0.024371	-0.968573	0.998846	-0.020061	-0.043274	0.005552	0.624129	-0.594935	-0.361173	-0.355061	
4	0.235075	-0.006084	-0.015211	-0.971839	0.195027	-0.001771	-0.023449	-0.980516	0.239254	-0.007065	-0.026962	-0.970557	0.247458	0.007512	-0.024395	-0.968562	0.998851	-0.019894	-0.043263	0.005378	0.624177	-0.594889	-0.361007	-0.355223	
5	0.235100	-0.006090	-0.015228	-0.971833	0.194934	-0.001780	-0.023455	-0.980534	0.239204	-0.007056	-0.026962	-0.970569	0.247456	0.007521	-0.024400	-0.968563	0.998857	-0.019770	-0.043214	0.005101	0.624177	-0.594919	-0.360769	-0.355416	
6	0.235133	-0.006096	-0.015237	-0.971825	0.194892	-0.001788	-0.023461	-0.980543	0.239208	-0.007050	-0.026948	-0.970569	0.247436	0.007514	-0.024392	-0.968568	0.998856	-0.019758	-0.043241	0.005138	0.624187	-0.594889	-0.360804	-0.355412	
7	0.235119	-0.006099	-0.015215	-0.971828	0.194919	-0.001791	-0.023451	-0.980537	0.239246	-0.007044	-0.026949	-0.970559	0.247355	0.007513	-0.024396	-0.968589	0.998856	-0.019826	-0.043204	0.005117	0.624152	-0.594953	-0.360790	-0.355381	
8	0.235021	-0.006101	-0.015205	-0.971852	0.194895	-0.001804	-0.023461	-0.980542	0.239202	-0.007030	-0.026948	-0.970570	0.247328	0.007522	-0.024397	-0.968595	0.998855	-0.019763	-0.043264	0.005065	0.624152	-0.594908	-0.360777	-0.355470	
9	0.234996	-0.006089	-0.015203	-0.971858	0.194895	-0.001805	-0.023465	-0.980542	0.239073	-0.007030	-0.026943	-0.970602	0.247308	0.007517	-0.024400	-0.968601	0.998858	-0.019784	-0.043184	0.005125	0.624187	-0.594932	-0.360768	-0.355378	
10	0.235022	-0.006070	-0.015195	-0.971852	0.194958	-0.001794	-0.023458	-0.980529	0.238957	-0.007042	-0.026932	-0.970631	0.247252	0.007509	-0.024408	-0.968615	0.998857	-0.019728	-0.043243	0.005059	0.624178	-0.594896	-0.360748	-0.355474	
11	0.234946	-0.006067	-0.015185	-0.971871	0.195020	-0.001792	-0.023468	-0.980517	0.238945	-0.007045	-0.026910	-0.970635	0.247200	0.007533	-0.024411	-0.968628	0.998857	-0.019849	-0.043183	0.005161	0.624160	-0.594961	-0.360811	-0.355332	
12	0.234904	-0.006073	-0.015173	-0.971881	0.195122	-0.001773	-0.023480	-0.980496	0.239022	-0.007058	-0.026908	-0.970615	0.247123	0.007566	-0.024399	-0.968647	0.998858	-0.019714	-0.043233	0.005092	0.624202	-0.594879	-0.360756	-0.355451	
13	0.234896	-0.006089	-0.015177	-0.971883	0.195193	-0.001762	-0.023494	-0.980482	0.239077	-0.007069	-0.026923	-0.970602	0.247072	0.007580	-0.024384	-0.968661	0.998858	-0.019756	-0.043195	0.005138	0.624205	-0.594905	-0.360774	-0.355385	
14	0.234898	-0.006118	-0.015205	-0.971882	0.195191	-0.001774	-0.023501	-0.980482	0.239070	-0.007059	-0.026933	-0.970603	0.247048	0.007580	-0.024370	-0.968667	0.998858	-0.019748	-0.043198	0.005066	0.624184	-0.594923	-0.360730	-0.355436	
15	0.234932	-0.006148	-0.015238	-0.971873	0.195179	-0.001781	-0.023487	-0.980485	0.239082	-0.007042	-0.026938	-0.970600	0.246988	0.007590	-0.024355	-0.968683	0.998855	-0.019803	-0.043243	0.005157	0.624166	-0.594911	-0.360831	-0.355385	
16	0.234909	-0.006154	-0.015249	-0.971878	0.195171	-0.001780	-0.023484	-0.980486	0.239150	-0.007043	-0.026944	-0.970583	0.246952	0.007589	-0.024367	-0.968692	0.998855	-0.019776	-0.043255	0.005071	0.624149	-0.594918	-0.360778	-0.355457	
17	0.234945	-0.006145	-0.015256	-0.971870	0.195163	-0.001772	-0.023488	-0.980488	0.239187	-0.007067	-0.026921	-0.970574	0.246921	0.007581	-0.024366	-0.968699	0.998851	-0.019920	-0.043239	0.005430	0.624187	-0.594899	-0.361030	-0.355167	
18	0.235043	-0.006139	-0.015271	-0.971846	0.195169	-0.001758	-0.023486	-0.980487	0.239178	-0.007096	-0.026882	-0.970578	0.246880	0.007577	-0.024338	-0.968711	0.998845	-0.020068	-0.043296	0.005551	0.624117	-0.594932	-0.361188	-0.355073	
19	0.235011	-0.006133	-0.015274	-0.971853	0.195200	-0.001745	-0.023491	-0.980481	0.239215	-0.007104	-0.026894	-0.970568	0.246887	0.007571	-0.024333	-0.968709	0.998858	-0.019731	-0.043207	0.005133	0.624214	-0.594886	-0.360770	-0.355403	
20	0.235046	-0.006123	-0.015257	-0.971845	0.195218	-0.001737	-0.023491	-0.980477	0.239227	-0.007104	-0.026902	-0.970565	0.246941	0.007571	-0.024335	-0.968695	0.998860	-0.019717	-0.043166	0.005083	0.624220	-0.594909	-0.360709	-0.355417	
21	0.235096	-0.006116	-0.015247	-0.971833	0.195235	-0.001740	-0.023495	-0.980473	0.239225	-0.007104	-0.026895	-0.970566	0.246935	0.007574	-0.024319	-0.968697	0.998838	-0.020209	-0.043352	0.005896	0.624127	-0.594888	-0.361477	-0.354834	
22	0.235026	-0.006128	-0.015246	-0.971850	0.195243	-0.001753	-0.023507	-0.980472	0.239254	-0.007102	-0.026893	-0.970559	0.246871	0.007566	-0.024282	-0.968714	0.998842	-0.020125	-0.043327	0.005645	0.624103	-0.594926	-0.361283	-0.355011	
23	0.234941	-0.006159	-0.015224	-0.971871	0.195189	-0.001764	-0.023509	-0.980482	0.239285	-0.007099	-0.026893	-0.970551	0.246902	0.007544	-0.024241	-0.968708	0.998857	-0.019769	-0.043225	0.005088	0.624170	-0.594918	-0.360767	-0.355431	
24	0.234912	-0.006157	-0.015226	-0.971878	0.195160	-0.001772	-0.023515	-0.980488	0.239313	-0.007103	-0.026900	-0.970544	0.246887	0.007534	-0.024235	-0.968712	0.998855	-0.019811	-0.043249	0.005143	0.624154	-0.594918	-0.360829	-0.355396	
25	0.234906	-0.006137	-0.015250	-0.971879	0.195118	-0.001764	-0.023543	-0.980495	0.239312	-0.007116	-0.026918	-0.970543	0.246839	0.007534	-0.024244	-0.968724	0.998857	-0.019839	-0.043185	0.005168	0.624168	-0.594952	-0.360813	-0.355332	
26	0.234887	-0.006131	-0.015262	-0.971884	0.195016	-0.001749	-0.023577	-0.980515	0.239270	-0.007132	-0.026938	-0.970553	0.246847	0.007525	-0.024236	-0.968722	0.998857	-0.019776	-0.043218	0.005161	0.624193	-0.594902	-0.360809	-0.355377	
