Martin	// User ID
7-7-2023	// Evaluation date
COM_MP_R2	7-7-2023	10:09:56:164	// Source file name and timestamp
100.000	// Sampling rate
34.174	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.571445	-0.004171	0.030822	0.820051	0.584654	-0.012234	0.034380	0.810462	0.561237	-0.013881	0.039236	0.826608	0.586816	-0.021004	0.026610	0.809010	0.699097	-0.008809	0.714295	0.031102	0.689948	-0.657076	0.215921	0.213541	
1	0.571328	-0.004162	0.030814	0.820132	0.584727	-0.012212	0.034399	0.810408	0.561195	-0.013880	0.039247	0.826636	0.586756	-0.020973	0.026639	0.809054	0.699088	-0.008676	0.714306	0.031111	0.690029	-0.656985	0.215971	0.213513	
2	0.571257	-0.004151	0.030813	0.820182	0.584764	-0.012193	0.034412	0.810382	0.561218	-0.013883	0.039239	0.826621	0.586708	-0.020952	0.026668	0.809088	0.699104	-0.008775	0.714289	0.031102	0.689971	-0.657056	0.215926	0.213524	
3	0.571243	-0.004152	0.030815	0.820192	0.584760	-0.012187	0.034404	0.810385	0.561231	-0.013897	0.039225	0.826612	0.586670	-0.020970	0.026655	0.809116	0.699093	-0.008792	0.714299	0.031115	0.689961	-0.657060	0.215924	0.213548	
4	0.571188	-0.004156	0.030813	0.820230	0.584749	-0.012175	0.034399	0.810393	0.561236	-0.013939	0.039243	0.826608	0.586545	-0.020965	0.026640	0.809207	0.699070	-0.008710	0.714321	0.031167	0.690020	-0.656983	0.215941	0.213576	
5	0.571150	-0.004149	0.030801	0.820257	0.584772	-0.012175	0.034402	0.810377	0.561268	-0.013963	0.039260	0.826584	0.586503	-0.020954	0.026644	0.809238	0.699099	-0.008751	0.714295	0.031101	0.689983	-0.657040	0.215941	0.213521	
6	0.571146	-0.004149	0.030780	0.820261	0.584753	-0.012177	0.034413	0.810389	0.561281	-0.013954	0.039262	0.826575	0.586539	-0.020948	0.026655	0.809211	0.699104	-0.008806	0.714288	0.031123	0.689959	-0.657069	0.215903	0.213547	
7	0.571146	-0.004161	0.030766	0.820261	0.584661	-0.012176	0.034435	0.810455	0.561239	-0.013935	0.039264	0.826605	0.586563	-0.020924	0.026657	0.809194	0.699086	-0.008767	0.714307	0.031109	0.689973	-0.657043	0.215943	0.213543	
8	0.571160	-0.004150	0.030767	0.820251	0.584622	-0.012196	0.034461	0.810482	0.561208	-0.013928	0.039263	0.826626	0.586629	-0.020872	0.026655	0.809148	0.699064	-0.008740	0.714327	0.031134	0.689989	-0.657012	0.215957	0.213570	
9	0.571157	-0.004123	0.030731	0.820255	0.584616	-0.012210	0.034470	0.810486	0.561208	-0.013939	0.039261	0.826626	0.586659	-0.020853	0.026663	0.809127	0.699083	-0.008739	0.714308	0.031157	0.690004	-0.657009	0.215925	0.213566	
10	0.571129	-0.004123	0.030716	0.820275	0.584617	-0.012213	0.034463	0.810485	0.561229	-0.013948	0.039259	0.826611	0.586696	-0.020874	0.026682	0.809098	0.699075	-0.008799	0.714315	0.031164	0.689967	-0.657043	0.215908	0.213597	
11	0.571098	-0.004150	0.030791	0.820294	0.584633	-0.012222	0.034463	0.810473	0.561248	-0.013935	0.039254	0.826599	0.586810	-0.020895	0.026700	0.809015	0.699093	-0.008768	0.714302	0.031069	0.689961	-0.657060	0.215961	0.213512	
12	0.571084	-0.004136	0.030860	0.820301	0.584627	-0.012220	0.034471	0.810477	0.561220	-0.013922	0.039264	0.826617	0.586863	-0.020904	0.026703	0.808976	0.699107	-0.008766	0.714287	0.031106	0.689979	-0.657049	0.215925	0.213521	
13	0.571123	-0.004101	0.030864	0.820274	0.584544	-0.012202	0.034468	0.810538	0.561168	-0.013924	0.039269	0.826652	0.586878	-0.020903	0.026707	0.808965	0.699083	-0.008803	0.714310	0.031093	0.689945	-0.657071	0.215943	0.213547	
14	0.571191	-0.004089	0.030854	0.820227	0.584470	-0.012186	0.034459	0.810592	0.561149	-0.013927	0.039275	0.826665	0.586922	-0.020908	0.026701	0.808933	0.699100	-0.008763	0.714293	0.031113	0.689981	-0.657043	0.215928	0.213531	
15	0.571228	-0.004102	0.030882	0.820200	0.584509	-0.012185	0.034462	0.810564	0.561179	-0.013913	0.039294	0.826644	0.587000	-0.020924	0.026672	0.808877	0.699079	-0.008757	0.714314	0.031110	0.689976	-0.657035	0.215952	0.213547	
16	0.571223	-0.004105	0.030887	0.820203	0.584556	-0.012185	0.034449	0.810530	0.561201	-0.013897	0.039296	0.826629	0.587075	-0.020921	0.026668	0.808823	0.699097	-0.008801	0.714292	0.031185	0.689980	-0.657043	0.215872	0.213590	
17	0.571225	-0.004110	0.030889	0.820202	0.584559	-0.012192	0.034432	0.810528	0.561233	-0.013872	0.039285	0.826609	0.587109	-0.020904	0.026697	0.808798	0.699110	-0.008812	0.714282	0.031142	0.689964	-0.657068	0.215884	0.213556	
18	0.571235	-0.004118	0.030892	0.820195	0.584540	-0.012208	0.034425	0.810543	0.561271	-0.013844	0.039280	0.826584	0.587101	-0.020888	0.026713	0.808803	0.699100	-0.008801	0.714293	0.031093	0.689951	-0.657075	0.215927	0.213530	
19	0.571203	-0.004108	0.030865	0.820218	0.584529	-0.012222	0.034422	0.810550	0.561275	-0.013844	0.039280	0.826581	0.587079	-0.020861	0.026681	0.808821	0.699103	-0.008801	0.714291	0.031082	0.689949	-0.657079	0.215932	0.213521	
20	0.571129	-0.004087	0.030859	0.820270	0.584538	-0.012220	0.034417	0.810544	0.561278	-0.013878	0.039260	0.826579	0.587047	-0.020791	0.026665	0.808846	0.699116	-0.008824	0.714278	0.031063	0.689933	-0.657104	0.215923	0.213504	
21	0.571014	-0.004047	0.030887	0.820349	0.584533	-0.012216	0.034437	0.810547	0.561304	-0.013898	0.039235	0.826562	0.587047	-0.020761	0.026660	0.808847	0.699089	-0.008783	0.714305	0.031094	0.689958	-0.657060	0.215944	0.213536	
22	0.570915	-0.004010	0.030914	0.820417	0.584512	-0.012226	0.034472	0.810560	0.561337	-0.013884	0.039220	0.826541	0.587095	-0.020791	0.026642	0.808813	0.699068	-0.008755	0.714326	0.031063	0.689958	-0.657047	0.215992	0.213527	
23	0.570902	-0.004020	0.030911	0.820427	0.584510	-0.012248	0.034474	0.810561	0.561339	-0.013866	0.039211	0.826541	0.587157	-0.020793	0.026633	0.808768	0.699090	-0.008829	0.714300	0.031143	0.689947	-0.657074	0.215896	0.213580	
