Martin	// User ID
7-7-2023	// Evaluation date
CON_HO_R4	7-7-2023	09:54:47:055	// Source file name and timestamp
100.000	// Sampling rate
33.360	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
20	0.232963	-0.006530	-0.015414	-0.972341	0.193423	-0.001797	-0.023897	-0.980823	0.246544	-0.007118	-0.027055	-0.968728	0.248472	0.006967	-0.024570	-0.968302	0.998529	-0.020408	-0.049849	0.006128	0.621786	-0.592551	-0.365800	-0.358407	
21	0.232982	-0.006552	-0.015421	-0.972337	0.193457	-0.001787	-0.023892	-0.980816	0.246579	-0.007105	-0.027054	-0.968719	0.248418	0.006980	-0.024542	-0.968317	0.998528	-0.020433	-0.049866	0.006132	0.621766	-0.592560	-0.365822	-0.358406	
22	0.232986	-0.006574	-0.015427	-0.972336	0.193514	-0.001758	-0.023871	-0.980805	0.246650	-0.007067	-0.027061	-0.968701	0.248390	0.006986	-0.024536	-0.968324	0.998528	-0.020367	-0.049885	0.006208	0.621825	-0.592486	-0.365857	-0.358389	
23	0.232999	-0.006586	-0.015424	-0.972332	0.193580	-0.001742	-0.023857	-0.980793	0.246679	-0.007026	-0.027056	-0.968694	0.248390	0.006981	-0.024542	-0.968324	0.998522	-0.020583	-0.049922	0.006229	0.621687	-0.592602	-0.365965	-0.358326	
24	0.233063	-0.006598	-0.015411	-0.972317	0.193591	-0.001759	-0.023863	-0.980791	0.246679	-0.007038	-0.027053	-0.968694	0.248396	0.006974	-0.024522	-0.968323	0.998529	-0.020400	-0.049852	0.006264	0.621835	-0.592501	-0.365881	-0.358322	
25	0.233085	-0.006601	-0.015402	-0.972312	0.193643	-0.001754	-0.023869	-0.980780	0.246776	-0.007048	-0.027050	-0.968669	0.248439	0.006995	-0.024526	-0.968312	0.998524	-0.020534	-0.049887	0.006259	0.621739	-0.592575	-0.365944	-0.358302	
26	0.233158	-0.006600	-0.015410	-0.972294	0.193708	-0.001757	-0.023872	-0.980767	0.246874	-0.007037	-0.027040	-0.968645	0.248518	0.007005	-0.024544	-0.968291	0.998525	-0.020505	-0.049882	0.006226	0.621748	-0.592569	-0.365912	-0.358330	
27	0.233253	-0.006587	-0.015411	-0.972272	0.193750	-0.001779	-0.023882	-0.980759	0.246888	-0.007031	-0.027037	-0.968641	0.248564	0.006996	-0.024537	-0.968279	0.998532	-0.020319	-0.049848	0.006049	0.621814	-0.592521	-0.365723	-0.358487	
28	0.233240	-0.006558	-0.015384	-0.972275	0.193788	-0.001784	-0.023901	-0.980751	0.246865	-0.007042	-0.027052	-0.968647	0.248533	0.006996	-0.024507	-0.968288	0.998529	-0.020451	-0.049839	0.006150	0.621770	-0.592576	-0.365822	-0.358372	
29	0.233263	-0.006554	-0.015377	-0.972270	0.193786	-0.001780	-0.023912	-0.980751	0.246844	-0.007044	-0.027051	-0.968652	0.248518	0.006991	-0.024504	-0.968292	0.998524	-0.020416	-0.049947	0.006214	0.621775	-0.592492	-0.365917	-0.358405	
30	0.233319	-0.006560	-0.015381	-0.972256	0.193674	-0.001772	-0.023927	-0.980772	0.246798	-0.007034	-0.027063	-0.968664	0.248540	0.006992	-0.024513	-0.968286	0.998524	-0.020449	-0.049937	0.006164	0.621741	-0.592534	-0.365891	-0.358421	
31	0.233341	-0.006555	-0.015378	-0.972251	0.193551	-0.001766	-0.023938	-0.980797	0.246763	-0.007031	-0.027085	-0.968672	0.248541	0.007006	-0.024507	-0.968286	0.998524	-0.020491	-0.049930	0.006125	0.621705	-0.592575	-0.365878	-0.358428	
32	0.233334	-0.006553	-0.015382	-0.972253	0.193576	-0.001775	-0.023919	-0.980792	0.246784	-0.007042	-0.027075	-0.968667	0.248514	0.007010	-0.024496	-0.968293	0.998527	-0.020411	-0.049872	0.006283	0.621828	-0.592494	-0.365909	-0.358318	
33	0.233338	-0.006559	-0.015384	-0.972252	0.193554	-0.001777	-0.023920	-0.980796	0.246663	-0.007045	-0.027081	-0.968697	0.248631	0.007006	-0.024499	-0.968263	0.998524	-0.020501	-0.049907	0.006194	0.621731	-0.592568	-0.365907	-0.358367	
34	0.233360	-0.006557	-0.015381	-0.972247	0.193477	-0.001775	-0.023927	-0.980811	0.246540	-0.007047	-0.027089	-0.968728	0.248719	0.007011	-0.024501	-0.968240	0.998525	-0.020508	-0.049889	0.006204	0.621736	-0.592576	-0.365904	-0.358347	
35	0.233438	-0.006545	-0.015375	-0.972228	0.193450	-0.001782	-0.023915	-0.980817	0.246543	-0.007056	-0.027085	-0.968728	0.248676	0.007031	-0.024499	-0.968251	0.998525	-0.020459	-0.049895	0.006244	0.621777	-0.592529	-0.365915	-0.358342	
36	0.233590	-0.006539	-0.015374	-0.972192	0.193478	-0.001789	-0.023911	-0.980812	0.246530	-0.007059	-0.027096	-0.968730	0.248714	0.007043	-0.024508	-0.968241	0.998521	-0.020479	-0.049961	0.006336	0.621772	-0.592487	-0.366019	-0.358314	
37	0.233614	-0.006533	-0.015371	-0.972186	0.193498	-0.001773	-0.023965	-0.980806	0.246490	-0.007061	-0.027099	-0.968741	0.248836	0.007024	-0.024501	-0.968210	0.998525	-0.020489	-0.049895	0.006166	0.621733	-0.592573	-0.365879	-0.358382	
38	0.233566	-0.006540	-0.015382	-0.972197	0.193458	-0.001744	-0.024019	-0.980813	0.246469	-0.007059	-0.027097	-0.968746	0.248982	0.007010	-0.024497	-0.968173	0.998523	-0.020530	-0.049919	0.006259	0.621730	-0.592560	-0.365963	-0.358322	
39	0.233545	-0.006575	-0.015404	-0.972202	0.193390	-0.001724	-0.024027	-0.980826	0.246431	-0.007053	-0.027103	-0.968756	0.249072	0.007022	-0.024507	-0.968149	0.998525	-0.020485	-0.049900	0.006213	0.621749	-0.592554	-0.365909	-0.358355	
40	0.233439	-0.006621	-0.015402	-0.972227	0.193388	-0.001720	-0.024044	-0.980826	0.246305	-0.007058	-0.027097	-0.968788	0.249043	0.007017	-0.024494	-0.968157	0.998527	-0.020484	-0.049853	0.006308	0.621798	-0.592539	-0.365936	-0.358267	
41	0.233271	-0.006609	-0.015426	-0.972267	0.193374	-0.001715	-0.024043	-0.980829	0.246255	-0.007054	-0.027097	-0.968801	0.249070	0.007005	-0.024498	-0.968150	0.998531	-0.020368	-0.049831	0.006135	0.621819	-0.592530	-0.365780	-0.358405	
42	0.233150	-0.006574	-0.015449	-0.972296	0.193333	-0.001703	-0.024042	-0.980837	0.246204	-0.007047	-0.027104	-0.968813	0.249135	0.006999	-0.024500	-0.968134	0.998531	-0.020388	-0.049822	0.006238	0.621844	-0.592513	-0.365842	-0.358326	
43	0.233092	-0.006576	-0.015436	-0.972310	0.193325	-0.001689	-0.024065	-0.980838	0.246068	-0.007049	-0.027106	-0.968848	0.249155	0.007001	-0.024477	-0.968129	0.998527	-0.020412	-0.049886	0.006187	0.621790	-0.592521	-0.365860	-0.358388	
44	0.232987	-0.006581	-0.015453	-0.972335	0.193355	-0.001667	-0.024055	-0.980832	0.246054	-0.007045	-0.027105	-0.968851	0.249241	0.007005	-0.024487	-0.968107	0.998524	-0.020493	-0.049901	0.006256	0.621759	-0.592544	-0.365938	-0.358325	
45	0.232932	-0.006577	-0.015458	-0.972348	0.193366	-0.001659	-0.024018	-0.980831	0.246060	-0.007045	-0.027090	-0.968850	0.249370	0.006995	-0.024499	-0.968073	0.998524	-0.020475	-0.049923	0.006264	0.621764	-0.592522	-0.365951	-0.358339	
46	0.232877	-0.006565	-0.015444	-0.972361	0.193359	-0.001656	-0.023988	-0.980833	0.246042	-0.007059	-0.027084	-0.968855	0.249445	0.006984	-0.024498	-0.968054	0.998533	-0.020382	-0.049789	0.006194	0.621845	-0.592535	-0.365793	-0.358338	
47	0.232734	-0.006550	-0.015448	-0.972396	0.193370	-0.001641	-0.023985	-0.980831	0.246058	-0.007080	-0.027084	-0.968851	0.249459	0.006993	-0.024491	-0.968050	0.998526	-0.020455	-0.049894	0.006206	0.621767	-0.592539	-0.365891	-0.358367	
48	0.232654	-0.006549	-0.015456	-0.972415	0.193387	-0.001636	-0.023998	-0.980828	0.246055	-0.007088	-0.027024	-0.968853	0.249528	0.006994	-0.024454	-0.968033	0.998525	-0.020519	-0.049893	0.006160	0.621713	-0.592595	-0.365884	-0.358375	
49	0.232639	-0.006575	-0.015438	-0.972418	0.193431	-0.001628	-0.024009	-0.980819	0.246038	-0.007094	-0.026994	-0.968858	0.249592	0.006981	-0.024426	-0.968018	0.998523	-0.020546	-0.049907	0.006212	0.621709	-0.592591	-0.365933	-0.358340	
50	0.232660	-0.006606	-0.015431	-0.972413	0.193494	-0.001615	-0.024013	-0.980806	0.246036	-0.007098	-0.027009	-0.968858	0.249649	0.006961	-0.024420	-0.968003	0.998523	-0.020485	-0.049945	0.006217	0.621734	-0.592535	-0.365940	-0.358380	
51	0.232701	-0.006611	-0.015467	-0.972403	0.193528	-0.001613	-0.024017	-0.980799	0.246055	-0.007096	-0.026999	-0.968854	0.249760	0.006946	-0.024417	-0.967975	0.998524	-0.020461	-0.049935	0.006203	0.621748	-0.592529	-0.365917	-0.358390	
52	0.232680	-0.006595	-0.015463	-0.972408	0.193514	-0.001605	-0.024024	-0.980802	0.246094	-0.007118	-0.026986	-0.968844	0.249845	0.006961	-0.024425	-0.967953	0.998528	-0.020384	-0.049877	0.006249	0.621831	-0.592486	-0.365882	-0.358352	
53	0.232651	-0.006581	-0.015417	-0.972416	0.193578	-0.001610	-0.024021	-0.980789	0.246112	-0.007136	-0.026978	-0.968840	0.249880	0.006972	-0.024438	-0.967943	0.998522	-0.020543	-0.049926	0.006230	0.621710	-0.592576	-0.365955	-0.358341	
54	0.232634	-0.006583	-0.015377	-0.972421	0.193678	-0.001629	-0.024017	-0.980770	0.246098	-0.007131	-0.026978	-0.968843	0.249903	0.006969	-0.024434	-0.967938	0.998523	-0.020499	-0.049917	0.006247	0.621746	-0.592545	-0.365945	-0.358339	
55	0.232594	-0.006597	-0.015365	-0.972430	0.193673	-0.001635	-0.024031	-0.980770	0.246074	-0.007120	-0.026991	-0.968849	0.249949	0.006975	-0.024411	-0.967926	0.998528	-0.020435	-0.049860	0.006192	0.621787	-0.592543	-0.365855	-0.358362	
56	0.232603	-0.006610	-0.015358	-0.972428	0.193722	-0.001641	-0.024035	-0.980761	0.246020	-0.007103	-0.026999	-0.968862	0.250012	0.006966	-0.024415	-0.967910	0.998534	-0.020342	-0.049807	0.006025	0.621807	-0.592558	-0.365690	-0.358472	
57	0.232616	-0.006600	-0.015357	-0.972425	0.193827	-0.001631	-0.024020	-0.980740	0.245945	-0.007100	-0.027001	-0.968882	0.250066	0.006960	-0.024431	-0.967895	0.998524	-0.020523	-0.049909	0.006213	0.621723	-0.592574	-0.365927	-0.358348	
58	0.232591	-0.006586	-0.015372	-0.972431	0.193894	-0.001611	-0.024006	-0.980727	0.245895	-0.007113	-0.027003	-0.968894	0.250068	0.006958	-0.024436	-0.967895	0.998530	-0.020438	-0.049829	0.006118	0.621771	-0.592581	-0.365792	-0.358392	
59	0.232572	-0.006601	-0.015397	-0.972435	0.193899	-0.001610	-0.024005	-0.980726	0.245902	-0.007122	-0.027004	-0.968892	0.250035	0.006944	-0.024438	-0.967903	0.998526	-0.020441	-0.049884	0.006253	0.621795	-0.592519	-0.365908	-0.358335	
60	0.232574	-0.006595	-0.015397	-0.972434	0.193883	-0.001611	-0.024005	-0.980730	0.245919	-0.007133	-0.026985	-0.968888	0.250140	0.006967	-0.024421	-0.967877	0.998525	-0.020464	-0.049904	0.006204	0.621757	-0.592542	-0.365900	-0.358371	
61	0.232598	-0.006589	-0.015390	-0.972429	0.193858	-0.001620	-0.024005	-0.980734	0.245956	-0.007141	-0.026967	-0.968879	0.250247	0.006990	-0.024419	-0.967849	0.998526	-0.020456	-0.049896	0.006211	0.621767	-0.592538	-0.365896	-0.358364	
62	0.232649	-0.006611	-0.015385	-0.972417	0.193798	-0.001630	-0.024000	-0.980746	0.246025	-0.007145	-0.026965	-0.968862	0.250253	0.006984	-0.024447	-0.967847	0.998525	-0.020465	-0.049901	0.006227	0.621766	-0.592536	-0.365911	-0.358354	
63	0.232722	-0.006629	-0.015354	-0.972400	0.193692	-0.001614	-0.023984	-0.980768	0.246077	-0.007154	-0.026952	-0.968849	0.250298	0.006992	-0.024458	-0.967835	0.998523	-0.020559	-0.049898	0.006222	0.621707	-0.592599	-0.365938	-0.358324	
64	0.232777	-0.006629	-0.015343	-0.972387	0.193655	-0.001618	-0.023981	-0.980775	0.246069	-0.007169	-0.026914	-0.968852	0.250362	0.006979	-0.024444	-0.967819	0.998522	-0.020520	-0.049944	0.006211	0.621711	-0.592560	-0.365947	-0.358371	
65	0.232759	-0.006627	-0.015357	-0.972391	0.193650	-0.001633	-0.023989	-0.980776	0.246037	-0.007166	-0.026901	-0.968861	0.250403	0.006958	-0.024413	-0.967809	0.998529	-0.020387	-0.049867	0.006199	0.621816	-0.592508	-0.365847	-0.358378	
66	0.232685	-0.006644	-0.015361	-0.972408	0.193606	-0.001628	-0.023990	-0.980785	0.246030	-0.007151	-0.026925	-0.968862	0.250403	0.006959	-0.024393	-0.967809	0.998530	-0.020430	-0.049835	0.006039	0.621747	-0.592600	-0.365746	-0.358449	
67	0.232646	-0.006684	-0.015333	-0.972418	0.193561	-0.001618	-0.023989	-0.980794	0.246051	-0.007162	-0.026919	-0.968857	0.250360	0.006963	-0.024406	-0.967820	0.998529	-0.020373	-0.049850	0.006253	0.621849	-0.592488	-0.365863	-0.358338	
68	0.232598	-0.006710	-0.015315	-0.972429	0.193534	-0.001646	-0.024003	-0.980798	0.246135	-0.007165	-0.026905	-0.968835	0.250373	0.006951	-0.024400	-0.967817	0.998523	-0.020511	-0.049921	0.006286	0.621750	-0.592538	-0.365975	-0.358312	
