Martin	// User ID
7-7-2023	// Evaluation date
COM_MP_R1	7-7-2023	10:08:48:952	// Source file name and timestamp
100.000	// Sampling rate
32.677	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.622179	0.001100	0.023911	0.782509	0.639156	-0.007221	0.026769	0.768577	0.602951	-0.008397	0.031096	0.797127	0.639447	-0.014957	0.018052	0.768478	0.654565	-0.017045	0.755231	0.029659	0.668858	-0.650111	0.254955	0.254916	
1	0.622026	0.001100	0.023921	0.782630	0.639151	-0.007216	0.026765	0.768582	0.602932	-0.008399	0.031091	0.797143	0.639448	-0.014940	0.018068	0.768477	0.654593	-0.017069	0.755203	0.029748	0.668883	-0.650105	0.254866	0.254956	
2	0.621981	0.001110	0.023933	0.782666	0.639149	-0.007216	0.026754	0.768584	0.602930	-0.008401	0.031085	0.797144	0.639468	-0.014942	0.018065	0.768461	0.654620	-0.017052	0.755182	0.029687	0.668884	-0.650123	0.254886	0.254888	
3	0.622004	0.001131	0.023941	0.782647	0.639188	-0.007211	0.026756	0.768551	0.602954	-0.008397	0.031069	0.797126	0.639525	-0.014940	0.018067	0.768413	0.654579	-0.017061	0.755220	0.029626	0.668843	-0.650137	0.254957	0.254888	
4	0.622000	0.001144	0.023934	0.782650	0.639269	-0.007200	0.026767	0.768483	0.602990	-0.008396	0.031060	0.797100	0.639575	-0.014919	0.018077	0.768371	0.654592	-0.017026	0.755208	0.029667	0.668882	-0.650104	0.254933	0.254892	
5	0.621989	0.001138	0.023919	0.782660	0.639350	-0.007185	0.026743	0.768417	0.603011	-0.008409	0.031082	0.797083	0.639543	-0.014902	0.018067	0.768399	0.654566	-0.017038	0.755229	0.029711	0.668880	-0.650089	0.254924	0.254946	
6	0.621986	0.001142	0.023917	0.782663	0.639415	-0.007187	0.026733	0.768363	0.602975	-0.008405	0.031087	0.797110	0.639533	-0.014887	0.018089	0.768406	0.654570	-0.017078	0.755228	0.029606	0.668823	-0.650152	0.254972	0.254888	
7	0.621963	0.001157	0.023911	0.782680	0.639511	-0.007193	0.026742	0.768283	0.602926	-0.008412	0.031081	0.797147	0.639546	-0.014883	0.018128	0.768395	0.654574	-0.017047	0.755224	0.029648	0.668857	-0.650119	0.254952	0.254902	
8	0.621925	0.001168	0.023900	0.782711	0.639607	-0.007193	0.026744	0.768203	0.602918	-0.008419	0.031089	0.797153	0.639567	-0.014894	0.018151	0.768376	0.654651	-0.017124	0.755150	0.029784	0.668883	-0.650146	0.254772	0.254945	
9	0.621911	0.001175	0.023917	0.782722	0.639598	-0.007199	0.026736	0.768211	0.602954	-0.008360	0.031108	0.797125	0.639646	-0.014899	0.018169	0.768311	0.654683	-0.017219	0.755116	0.029890	0.668872	-0.650181	0.254644	0.255013	
