Martin	// User ID
7-7-2023	// Evaluation date
CON_HO_R5	7-7-2023	09:55:49:957	// Source file name and timestamp
100.000	// Sampling rate
31.647	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.581281	-0.004644	-0.010923	-0.813617	0.529354	-0.003543	-0.020247	-0.848152	0.569406	-0.008854	-0.021429	-0.821729	0.555348	0.004859	-0.024239	-0.831251	0.912516	-0.014684	-0.408708	-0.007538	0.448724	-0.419850	-0.560759	-0.554907	
1	0.581311	-0.004619	-0.010931	-0.813595	0.529324	-0.003557	-0.020246	-0.848171	0.569408	-0.008849	-0.021443	-0.821728	0.555396	0.004887	-0.024229	-0.831219	0.912502	-0.014787	-0.408735	-0.007531	0.448647	-0.419897	-0.560812	-0.554881	
2	0.581326	-0.004647	-0.010922	-0.813584	0.529312	-0.003569	-0.020250	-0.848178	0.569384	-0.008869	-0.021425	-0.821744	0.555425	0.004930	-0.024226	-0.831199	0.912492	-0.014681	-0.408762	-0.007567	0.448683	-0.419824	-0.560768	-0.554951	
3	0.581246	-0.004692	-0.010941	-0.813641	0.529312	-0.003559	-0.020251	-0.848178	0.569382	-0.008865	-0.021419	-0.821746	0.555409	0.004939	-0.024228	-0.831210	0.912513	-0.014716	-0.408713	-0.007585	0.448685	-0.419882	-0.560745	-0.554929	
4	0.581208	-0.004712	-0.010979	-0.813667	0.529299	-0.003575	-0.020250	-0.848186	0.569416	-0.008866	-0.021407	-0.821723	0.555370	0.004967	-0.024219	-0.831236	0.912507	-0.014662	-0.408727	-0.007625	0.448695	-0.419852	-0.560710	-0.554979	
5	0.581199	-0.004717	-0.010997	-0.813674	0.529277	-0.003589	-0.020250	-0.848200	0.569435	-0.008865	-0.021402	-0.821710	0.555346	0.004998	-0.024208	-0.831252	0.912529	-0.014641	-0.408680	-0.007564	0.448759	-0.419847	-0.560715	-0.554925	
6	0.581165	-0.004723	-0.010991	-0.813698	0.529237	-0.003579	-0.020251	-0.848225	0.569414	-0.008854	-0.021411	-0.821724	0.555336	0.005003	-0.024209	-0.831258	0.912515	-0.014719	-0.408708	-0.007579	0.448688	-0.419884	-0.560747	-0.554922	
7	0.581172	-0.004722	-0.011003	-0.813693	0.529144	-0.003597	-0.020258	-0.848283	0.569400	-0.008864	-0.021402	-0.821734	0.555313	0.005016	-0.024211	-0.831274	0.912519	-0.014667	-0.408701	-0.007623	0.448709	-0.419870	-0.560699	-0.554965	
8	0.581170	-0.004727	-0.011034	-0.813694	0.529076	-0.003595	-0.020262	-0.848325	0.569413	-0.008869	-0.021403	-0.821725	0.555325	0.005026	-0.024220	-0.831266	0.912498	-0.014675	-0.408749	-0.007539	0.448704	-0.419819	-0.560777	-0.554929	
9	0.581143	-0.004736	-0.011059	-0.813713	0.529061	-0.003577	-0.020256	-0.848335	0.569454	-0.008865	-0.021408	-0.821696	0.555344	0.005030	-0.024229	-0.831253	0.912510	-0.014638	-0.408724	-0.007493	0.448758	-0.419797	-0.560779	-0.554900	
10	0.581134	-0.004718	-0.011070	-0.813719	0.529073	-0.003573	-0.020251	-0.848327	0.569507	-0.008869	-0.021402	-0.821660	0.555315	0.005029	-0.024230	-0.831272	0.912525	-0.014753	-0.408685	-0.007550	0.448692	-0.419912	-0.560764	-0.554882	
11	0.581163	-0.004652	-0.011085	-0.813698	0.529096	-0.003566	-0.020266	-0.848312	0.569526	-0.008881	-0.021407	-0.821647	0.555269	0.005005	-0.024223	-0.831303	0.912520	-0.014679	-0.408699	-0.007546	0.448729	-0.419855	-0.560749	-0.554910	
12	0.581201	-0.004641	-0.011074	-0.813671	0.529090	-0.003568	-0.020275	-0.848316	0.569450	-0.008888	-0.021400	-0.821699	0.555271	0.004992	-0.024225	-0.831301	0.912512	-0.014683	-0.408715	-0.007598	0.448700	-0.419864	-0.560727	-0.554949	
13	0.581247	-0.004663	-0.011051	-0.813639	0.529075	-0.003574	-0.020274	-0.848325	0.569368	-0.008889	-0.021387	-0.821756	0.555310	0.005003	-0.024220	-0.831276	0.912524	-0.014755	-0.408688	-0.007559	0.448686	-0.419914	-0.560761	-0.554888	
14	0.581295	-0.004638	-0.011051	-0.813605	0.529109	-0.003566	-0.020278	-0.848304	0.569381	-0.008890	-0.021395	-0.821747	0.555336	0.005017	-0.024196	-0.831259	0.912487	-0.014716	-0.408771	-0.007587	0.448649	-0.419847	-0.560773	-0.554956	
15	0.581289	-0.004632	-0.011061	-0.813609	0.529193	-0.003546	-0.020284	-0.848252	0.569399	-0.008892	-0.021405	-0.821734	0.555359	0.005015	-0.024195	-0.831244	0.912509	-0.014685	-0.408722	-0.007581	0.448699	-0.419855	-0.560742	-0.554941	
16	0.581282	-0.004630	-0.011061	-0.813614	0.529269	-0.003539	-0.020297	-0.848204	0.569395	-0.008894	-0.021406	-0.821737	0.555421	0.005050	-0.024226	-0.831201	0.912505	-0.014676	-0.408732	-0.007601	0.448693	-0.419850	-0.560731	-0.554961	
17	0.581290	-0.004605	-0.011050	-0.813609	0.529331	-0.003550	-0.020304	-0.848165	0.569391	-0.008905	-0.021403	-0.821740	0.555454	0.005092	-0.024244	-0.831178	0.912497	-0.014684	-0.408751	-0.007529	0.448701	-0.419821	-0.560787	-0.554920	
18	0.581278	-0.004581	-0.011047	-0.813617	0.529393	-0.003564	-0.020289	-0.848127	0.569398	-0.008929	-0.021404	-0.821735	0.555378	0.005074	-0.024221	-0.831230	0.912505	-0.014729	-0.408731	-0.007553	0.448678	-0.419869	-0.560777	-0.554912	
19	0.581285	-0.004592	-0.011064	-0.813612	0.529400	-0.003562	-0.020276	-0.848122	0.569396	-0.008932	-0.021409	-0.821736	0.555302	0.005050	-0.024208	-0.831281	0.912508	-0.014651	-0.408726	-0.007567	0.448723	-0.419827	-0.560741	-0.554945	
20	0.581352	-0.004581	-0.011064	-0.813564	0.529386	-0.003545	-0.020271	-0.848132	0.569415	-0.008912	-0.021413	-0.821723	0.555283	0.005049	-0.024209	-0.831294	0.912509	-0.014678	-0.408723	-0.007564	0.448709	-0.419845	-0.560750	-0.554932	
21	0.581442	-0.004553	-0.011044	-0.813500	0.529372	-0.003530	-0.020276	-0.848140	0.569438	-0.008893	-0.021419	-0.821707	0.555291	0.005055	-0.024218	-0.831288	0.912523	-0.014648	-0.408691	-0.007626	0.448726	-0.419865	-0.560686	-0.554968	
22	0.581477	-0.004560	-0.011046	-0.813475	0.529344	-0.003520	-0.020295	-0.848157	0.569426	-0.008888	-0.021429	-0.821715	0.555290	0.005050	-0.024238	-0.831288	0.912494	-0.014739	-0.408753	-0.007622	0.448633	-0.419885	-0.560750	-0.554963	
23	0.581470	-0.004548	-0.011060	-0.813480	0.529338	-0.003505	-0.020293	-0.848161	0.569439	-0.008880	-0.021434	-0.821706	0.555309	0.005041	-0.024235	-0.831276	0.912522	-0.014674	-0.408694	-0.007580	0.448724	-0.419865	-0.560724	-0.554931	
24	0.581441	-0.004528	-0.011059	-0.813501	0.529350	-0.003485	-0.020280	-0.848154	0.569450	-0.008875	-0.021433	-0.821698	0.555336	0.005037	-0.024225	-0.831258	0.912509	-0.014770	-0.408719	-0.007552	0.448660	-0.419902	-0.560786	-0.554893	
25	0.581399	-0.004529	-0.011039	-0.813531	0.529367	-0.003477	-0.020280	-0.848144	0.569433	-0.008879	-0.021429	-0.821710	0.555359	0.005038	-0.024227	-0.831243	0.912509	-0.014630	-0.408725	-0.007573	0.448734	-0.419816	-0.560729	-0.554955	
