Martin	// User ID
7-7-2023	// Evaluation date
CON_SP_R3	7-7-2023	10:27:19:573	// Source file name and timestamp
100.000	// Sampling rate
120.000	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.966605	0.140735	-0.071638	-0.201833	0.965237	0.133100	-0.073818	-0.212491	0.970253	0.125434	-0.078693	-0.191530	0.965524	0.136016	-0.085462	-0.204839	0.323869	0.177658	-0.925662	-0.081833	-0.010452	0.209184	-0.596109	-0.775105	
1	0.966686	0.144281	-0.071181	-0.199082	0.965332	0.136714	-0.073201	-0.209962	0.970316	0.129473	-0.078123	-0.188732	0.965621	0.139977	-0.084783	-0.201976	0.320083	0.180879	-0.926166	-0.083942	-0.011859	0.213031	-0.592855	-0.776531	
2	0.966737	0.147105	-0.070684	-0.196933	0.965344	0.140086	-0.073037	-0.207732	0.970475	0.135308	-0.077716	-0.183929	0.965798	0.144417	-0.084001	-0.198296	0.316054	0.184316	-0.926651	-0.086341	-0.013386	0.217065	-0.589263	-0.778122	
3	0.966737	0.153360	-0.070544	-0.192156	0.965477	0.145246	-0.073057	-0.203522	0.970486	0.139843	-0.078076	-0.180293	0.965764	0.147277	-0.084108	-0.196303	0.311856	0.186610	-0.927377	-0.088855	-0.015825	0.220502	-0.586091	-0.779504	
4	0.966848	0.157886	-0.070226	-0.188003	0.965561	0.147845	-0.072924	-0.201283	0.970517	0.142312	-0.077965	-0.178228	0.965799	0.152267	-0.084403	-0.192156	0.308497	0.188737	-0.927763	-0.092000	-0.017923	0.223010	-0.582649	-0.781323	
5	0.966860	0.160930	-0.069211	-0.185722	0.965609	0.151963	-0.071444	-0.198498	0.970565	0.146607	-0.076560	-0.175065	0.965893	0.158062	-0.083197	-0.187470	0.304605	0.190024	-0.928553	-0.094320	-0.020721	0.225694	-0.580076	-0.782396	
6	0.966781	0.165225	-0.068132	-0.182740	0.965665	0.157383	-0.069786	-0.194553	0.970559	0.151771	-0.075113	-0.171286	0.965969	0.161929	-0.081535	-0.184488	0.301287	0.191283	-0.929161	-0.096425	-0.023032	0.228025	-0.577710	-0.783406	
7	0.966866	0.170357	-0.068013	-0.177546	0.965828	0.159464	-0.070065	-0.191935	0.970608	0.154144	-0.075192	-0.168836	0.966054	0.164408	-0.081707	-0.181754	0.297532	0.191910	-0.929922	-0.099447	-0.026366	0.229963	-0.574966	-0.784752	
8	0.966948	0.172820	-0.068176	-0.174636	0.966009	0.163754	-0.070104	-0.187341	0.970703	0.158349	-0.075239	-0.164320	0.966206	0.168662	-0.081910	-0.176889	0.293434	0.192809	-0.930787	-0.101767	-0.029555	0.232545	-0.572507	-0.785675	
9	0.967054	0.175790	-0.067464	-0.171324	0.966126	0.167429	-0.069563	-0.183655	0.970779	0.161812	-0.074730	-0.160686	0.966342	0.171891	-0.081413	-0.173231	0.290436	0.192875	-0.931467	-0.103995	-0.032437	0.233895	-0.570622	-0.786531	
10	0.967168	0.179948	-0.066146	-0.166823	0.966318	0.169183	-0.068610	-0.181382	0.970943	0.163622	-0.073703	-0.158318	0.966535	0.173741	-0.080331	-0.170798	0.285967	0.192491	-0.932793	-0.105205	-0.036407	0.236383	-0.569442	-0.786469	
11	0.967281	0.181737	-0.065269	-0.164556	0.966650	0.173413	-0.066721	-0.176250	0.971198	0.167460	-0.072183	-0.153364	0.966834	0.177519	-0.078795	-0.165863	0.282189	0.191624	-0.933978	-0.106468	-0.040190	0.238077	-0.568528	-0.786435	
12	0.967552	0.184606	-0.063763	-0.160304	0.967014	0.176817	-0.064909	-0.171485	0.971380	0.169501	-0.071244	-0.150381	0.967039	0.179459	-0.077818	-0.163016	0.279166	0.190876	-0.934961	-0.107148	-0.043149	0.239517	-0.568035	-0.786197	
13	0.967778	0.187268	-0.062234	-0.156407	0.967286	0.178405	-0.063584	-0.168782	0.971641	0.171364	-0.069735	-0.147259	0.967333	0.181248	-0.076248	-0.160009	0.275130	0.189497	-0.936502	-0.106574	-0.046898	0.241748	-0.568543	-0.784931	
14	0.968000	0.188476	-0.060884	-0.154097	0.967610	0.179845	-0.062085	-0.165930	0.971960	0.174376	-0.067507	-0.142580	0.967713	0.184184	-0.073978	-0.155354	0.271266	0.187704	-0.938071	-0.105855	-0.050743	0.243665	-0.569352	-0.783512	
15	0.968467	0.190719	-0.058675	-0.149180	0.968251	0.181594	-0.060017	-0.160974	0.972221	0.175258	-0.066427	-0.140210	0.968023	0.184985	-0.072933	-0.152947	0.267496	0.185198	-0.939667	-0.105706	-0.055156	0.244888	-0.570109	-0.782281	
16	0.968834	0.191675	-0.057504	-0.145992	0.968727	0.182076	-0.059044	-0.157892	0.972786	0.176166	-0.064788	-0.135852	0.968702	0.185561	-0.071532	-0.148546	0.264716	0.182963	-0.940952	-0.105166	-0.058532	0.245713	-0.571127	-0.781033	
17	0.969404	0.191484	-0.056774	-0.142709	0.969378	0.181613	-0.058413	-0.154630	0.973575	0.176865	-0.062999	-0.130005	0.969638	0.185788	-0.070001	-0.142776	0.261255	0.179500	-0.942697	-0.104158	-0.063075	0.246458	-0.572920	-0.779130	
