Martin	// User ID
7-7-2023	// Evaluation date
CON_VE_R3	7-7-2023	10:02:43:218	// Source file name and timestamp
100.000	// Sampling rate
35.495	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.671166	0.035383	-0.706493	-0.221704	0.688872	-0.040011	-0.708232	-0.149205	0.697532	-0.104103	-0.703748	-0.085732	0.687967	-0.095991	-0.713072	-0.094953	0.243553	0.399798	-0.682788	0.560931	0.367327	0.526805	-0.722152	-0.256990	
1	0.671193	0.035333	-0.706484	-0.221659	0.688894	-0.040079	-0.708218	-0.149151	0.697546	-0.104084	-0.703736	-0.085741	0.687968	-0.096009	-0.713069	-0.094947	0.243501	0.399749	-0.682823	0.560946	0.367257	0.526821	-0.722184	-0.256967	
2	0.671185	0.035365	-0.706482	-0.221684	0.688936	-0.040157	-0.708186	-0.149091	0.697542	-0.104078	-0.703738	-0.085762	0.687964	-0.096041	-0.713070	-0.094938	0.243474	0.399778	-0.682801	0.560965	0.367270	0.526855	-0.722162	-0.256942	
3	0.671180	0.035361	-0.706489	-0.221674	0.688947	-0.040220	-0.708186	-0.149023	0.697533	-0.104039	-0.703746	-0.085817	0.687985	-0.096083	-0.713050	-0.094889	0.243436	0.399765	-0.682828	0.560957	0.367227	0.526876	-0.722166	-0.256946	
4	0.671190	0.035347	-0.706492	-0.221640	0.688950	-0.040215	-0.708187	-0.149002	0.697545	-0.103980	-0.703735	-0.085884	0.687993	-0.096116	-0.713044	-0.094845	0.243467	0.399743	-0.682818	0.560971	0.367242	0.526844	-0.722186	-0.256935	
5	0.671191	0.035374	-0.706503	-0.221595	0.688947	-0.040191	-0.708187	-0.149022	0.697557	-0.103990	-0.703723	-0.085877	0.688001	-0.096153	-0.713036	-0.094807	0.243455	0.399738	-0.682800	0.561003	0.367247	0.526852	-0.722191	-0.256897	
6	0.671175	0.035426	-0.706521	-0.221578	0.688935	-0.040188	-0.708195	-0.149042	0.697557	-0.104074	-0.703720	-0.085795	0.688025	-0.096190	-0.713014	-0.094766	0.243515	0.399826	-0.682765	0.560957	0.367335	0.526847	-0.722130	-0.256955	
7	0.671156	0.035460	-0.706516	-0.221647	0.688928	-0.040177	-0.708201	-0.149044	0.697570	-0.104118	-0.703705	-0.085758	0.688033	-0.096193	-0.713008	-0.094748	0.243499	0.399722	-0.682764	0.561038	0.367290	0.526815	-0.722208	-0.256863	
8	0.671117	0.035547	-0.706514	-0.221757	0.688930	-0.040159	-0.708201	-0.149045	0.697571	-0.104107	-0.703703	-0.085781	0.688032	-0.096168	-0.713008	-0.094775	0.243412	0.399821	-0.682761	0.561009	0.367284	0.526921	-0.722127	-0.256883	
9	0.671080	0.035639	-0.706516	-0.221846	0.688923	-0.040127	-0.708208	-0.149052	0.697569	-0.104097	-0.703700	-0.085831	0.688019	-0.096162	-0.713018	-0.094804	0.243487	0.399679	-0.682857	0.560961	0.367200	0.526801	-0.722234	-0.256951	
10	0.671070	0.035668	-0.706512	-0.221888	0.688904	-0.040076	-0.708225	-0.149073	0.697579	-0.104118	-0.703684	-0.085855	0.688002	-0.096197	-0.713032	-0.094787	0.243475	0.399801	-0.682811	0.560934	0.367272	0.526863	-0.722143	-0.256976	
11	0.671071	0.035673	-0.706507	-0.221898	0.688890	-0.040021	-0.708232	-0.149119	0.697577	-0.104146	-0.703688	-0.085813	0.688016	-0.096251	-0.713017	-0.094740	0.243472	0.399768	-0.682814	0.560957	0.367256	0.526852	-0.722168	-0.256951	
12	0.671072	0.035667	-0.706507	-0.221897	0.688873	-0.039957	-0.708241	-0.149175	0.697577	-0.104177	-0.703687	-0.085777	0.688032	-0.096312	-0.713000	-0.094694	0.243482	0.399801	-0.682758	0.560996	0.367314	0.526861	-0.722147	-0.256906	
