Martin	// User ID
7-7-2023	// Evaluation date
COM_MP_R5	7-7-2023	10:13:38:491	// Source file name and timestamp
100.000	// Sampling rate
36.026	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
22	0.609700	-0.003672	0.029950	0.792058	0.601324	-0.010161	0.033252	0.798248	0.597294	-0.013442	0.038031	0.801007	0.605741	-0.018793	0.025818	0.795021	0.672017	-0.009853	0.739808	0.031319	0.680070	-0.650124	0.240750	0.238501	
23	0.609682	-0.003671	0.029936	0.792072	0.601296	-0.010156	0.033236	0.798270	0.597235	-0.013426	0.038026	0.801052	0.605732	-0.018812	0.025816	0.795027	0.672020	-0.009856	0.739805	0.031300	0.680063	-0.650134	0.240758	0.238487	
24	0.609653	-0.003658	0.029919	0.792095	0.601272	-0.010157	0.033234	0.798288	0.597241	-0.013418	0.038031	0.801047	0.605751	-0.018827	0.025824	0.795012	0.671960	-0.009801	0.739854	0.031462	0.680128	-0.650026	0.240731	0.238624	
25	0.609613	-0.003641	0.029919	0.792126	0.601230	-0.010141	0.033263	0.798319	0.597292	-0.013416	0.038044	0.801009	0.605748	-0.018841	0.025812	0.795015	0.672023	-0.009837	0.739799	0.031377	0.680101	-0.650096	0.240713	0.238526	
26	0.609624	-0.003630	0.029928	0.792117	0.601184	-0.010097	0.033301	0.798353	0.597333	-0.013417	0.038045	0.800978	0.605669	-0.018831	0.025819	0.795075	0.671992	-0.009829	0.739832	0.031284	0.680064	-0.650113	0.240802	0.238494	
27	0.609571	-0.003626	0.029963	0.792157	0.601167	-0.010085	0.033301	0.798366	0.597430	-0.013419	0.038032	0.800906	0.605534	-0.018820	0.025848	0.795177	0.671930	-0.009783	0.739880	0.031507	0.680142	-0.649991	0.240736	0.238673	
28	0.609500	-0.003618	0.029981	0.792211	0.601166	-0.010118	0.033289	0.798366	0.597508	-0.013429	0.038023	0.800848	0.605464	-0.018813	0.025848	0.795230	0.671986	-0.009823	0.739836	0.031308	0.680074	-0.650100	0.240795	0.238511	
29	0.609528	-0.003611	0.029956	0.792190	0.601176	-0.010167	0.033302	0.798358	0.597494	-0.013426	0.038023	0.800858	0.605482	-0.018810	0.025822	0.795218	0.672009	-0.009826	0.739812	0.031397	0.680109	-0.650078	0.240718	0.238548	
30	0.609633	-0.003617	0.029936	0.792110	0.601220	-0.010209	0.033321	0.798323	0.597470	-0.013378	0.038012	0.800878	0.605449	-0.018815	0.025842	0.795242	0.672024	-0.009829	0.739798	0.031390	0.680110	-0.650087	0.240708	0.238531	
31	0.609681	-0.003609	0.029898	0.792075	0.601265	-0.010225	0.033327	0.798289	0.597458	-0.013364	0.038004	0.800888	0.605450	-0.018818	0.025873	0.795240	0.671978	-0.009784	0.739844	0.031306	0.680093	-0.650073	0.240818	0.238505	
32	0.609667	-0.003593	0.029872	0.792087	0.601297	-0.010222	0.033317	0.798265	0.597463	-0.013374	0.038011	0.800883	0.605517	-0.018811	0.025875	0.795189	0.671937	-0.009796	0.739875	0.031464	0.680123	-0.650015	0.240751	0.238644	
33	0.609656	-0.003582	0.029892	0.792094	0.601303	-0.010209	0.033313	0.798261	0.597501	-0.013361	0.038015	0.800855	0.605595	-0.018809	0.025865	0.795130	0.672050	-0.009862	0.739774	0.031394	0.680101	-0.650114	0.240670	0.238522	
34	0.609662	-0.003553	0.029905	0.792089	0.601243	-0.010174	0.033338	0.798306	0.597568	-0.013361	0.037993	0.800806	0.605656	-0.018836	0.025878	0.795082	0.671971	-0.009876	0.739845	0.031404	0.680068	-0.650097	0.240731	0.238602	
35	0.609699	-0.003552	0.029945	0.792059	0.601178	-0.010159	0.033348	0.798354	0.597605	-0.013359	0.037981	0.800779	0.605684	-0.018876	0.025866	0.795061	0.672046	-0.009902	0.739785	0.031225	0.680020	-0.650196	0.240765	0.238432	
36	0.609726	-0.003571	0.030004	0.792036	0.601134	-0.010170	0.033349	0.798387	0.597626	-0.013356	0.037983	0.800763	0.605687	-0.018899	0.025834	0.795059	0.671976	-0.009848	0.739840	0.031420	0.680092	-0.650075	0.240725	0.238598	
37	0.609710	-0.003576	0.030031	0.792047	0.601106	-0.010177	0.033369	0.798407	0.597668	-0.013366	0.037981	0.800732	0.605691	-0.018895	0.025824	0.795056	0.671890	-0.009817	0.739916	0.031487	0.680102	-0.650007	0.240773	0.238706	
38	0.609714	-0.003595	0.030018	0.792045	0.601132	-0.010175	0.033376	0.798388	0.597678	-0.013366	0.037989	0.800724	0.605708	-0.018890	0.025823	0.795043	0.671978	-0.009843	0.739842	0.031352	0.680073	-0.650095	0.240769	0.238553	
39	0.609753	-0.003631	0.029966	0.792016	0.601180	-0.010166	0.033372	0.798352	0.597643	-0.013365	0.037972	0.800751	0.605729	-0.018885	0.025824	0.795028	0.672008	-0.009870	0.739812	0.031412	0.680087	-0.650101	0.240695	0.238572	
40	0.609778	-0.003658	0.029929	0.791998	0.601247	-0.010173	0.033359	0.798302	0.597596	-0.013364	0.037941	0.800787	0.605722	-0.018881	0.025820	0.795033	0.671931	-0.009854	0.739876	0.031530	0.680108	-0.650029	0.240695	0.238709	
41	0.609759	-0.003665	0.029958	0.792012	0.601334	-0.010203	0.033334	0.798237	0.597551	-0.013361	0.037934	0.800822	0.605666	-0.018892	0.025809	0.795076	0.672051	-0.009804	0.739774	0.031407	0.680141	-0.650072	0.240681	0.238510	
42	0.609761	-0.003669	0.029981	0.792009	0.601355	-0.010213	0.033334	0.798221	0.597468	-0.013371	0.037924	0.800884	0.605583	-0.018926	0.025795	0.795139	0.671991	-0.009836	0.739826	0.031448	0.680113	-0.650063	0.240699	0.238599	
43	0.609786	-0.003665	0.029980	0.791990	0.601378	-0.010215	0.033345	0.798203	0.597449	-0.013390	0.037909	0.800898	0.605514	-0.018930	0.025788	0.795191	0.672023	-0.009891	0.739801	0.031328	0.680052	-0.650148	0.240726	0.238513	
