Martin	// User ID
7-7-2023	// Evaluation date
COM_MP_R3	7-7-2023	10:11:23:449	// Source file name and timestamp
100.000	// Sampling rate
34.823	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.503281	0.005225	0.023276	0.863794	0.514591	-0.002459	0.027656	0.856986	0.506692	-0.004495	0.032549	0.861501	0.510296	-0.011235	0.021087	0.859667	0.747316	-0.020257	0.663519	0.029161	0.697308	-0.676777	0.164652	0.169187	
1	0.503274	0.005223	0.023287	0.863798	0.514626	-0.002461	0.027660	0.856965	0.506730	-0.004506	0.032541	0.861479	0.510331	-0.011235	0.021083	0.859646	0.747353	-0.020278	0.663476	0.029186	0.697314	-0.676790	0.164590	0.169171	
2	0.503316	0.005209	0.023285	0.863773	0.514714	-0.002444	0.027658	0.856912	0.506748	-0.004521	0.032532	0.861469	0.510306	-0.011236	0.021108	0.859660	0.747306	-0.020302	0.663527	0.029229	0.697300	-0.676780	0.164604	0.169254	
3	0.503411	0.005210	0.023284	0.863718	0.514786	-0.002435	0.027652	0.856869	0.506746	-0.004533	0.032524	0.861470	0.510272	-0.011243	0.021125	0.859680	0.747276	-0.020175	0.663569	0.029093	0.697324	-0.676739	0.164767	0.169160	
4	0.503462	0.005211	0.023286	0.863688	0.514811	-0.002435	0.027646	0.856855	0.506797	-0.004529	0.032509	0.861441	0.510275	-0.011247	0.021117	0.859678	0.747319	-0.020284	0.663518	0.029100	0.697273	-0.676815	0.164678	0.169155	
5	0.503467	0.005203	0.023283	0.863685	0.514798	-0.002438	0.027641	0.856863	0.506877	-0.004519	0.032490	0.861394	0.510340	-0.011238	0.021081	0.859641	0.747240	-0.020114	0.663617	0.029004	0.697322	-0.676722	0.164883	0.169123	
6	0.503506	0.005199	0.023268	0.863662	0.514757	-0.002441	0.027637	0.856887	0.506881	-0.004520	0.032482	0.861392	0.510454	-0.011224	0.021027	0.859574	0.747316	-0.020265	0.663516	0.029233	0.697326	-0.676758	0.164604	0.169234	
7	0.503495	0.005199	0.023265	0.863669	0.514674	-0.002434	0.027637	0.856937	0.506860	-0.004507	0.032465	0.861405	0.510523	-0.011224	0.021019	0.859534	0.747323	-0.020306	0.663509	0.029198	0.697292	-0.676797	0.164604	0.169218	
8	0.503468	0.005211	0.023274	0.863684	0.514606	-0.002419	0.027637	0.856978	0.506841	-0.004497	0.032445	0.861417	0.510569	-0.011218	0.021042	0.859506	0.747305	-0.020274	0.663530	0.029182	0.697301	-0.676779	0.164645	0.169216	
9	0.503489	0.005223	0.023282	0.863672	0.514567	-0.002409	0.027638	0.857001	0.506809	-0.004522	0.032421	0.861436	0.510623	-0.011201	0.021058	0.859474	0.747318	-0.020300	0.663514	0.029183	0.697290	-0.676797	0.164620	0.169212	
10	0.503520	0.005207	0.023285	0.863654	0.514493	-0.002414	0.027645	0.857045	0.506782	-0.004576	0.032380	0.861454	0.510635	-0.011210	0.021068	0.859466	0.747305	-0.020304	0.663530	0.029166	0.697278	-0.676802	0.164644	0.169216	
11	0.503533	0.005203	0.023297	0.863646	0.514430	-0.002415	0.027642	0.857083	0.506813	-0.004578	0.032378	0.861436	0.510613	-0.011222	0.021070	0.859479	0.747310	-0.020299	0.663524	0.029196	0.697292	-0.676790	0.164622	0.169228	
12	0.503504	0.005214	0.023309	0.863663	0.514430	-0.002421	0.027631	0.857084	0.506786	-0.004554	0.032391	0.861451	0.510608	-0.011221	0.021069	0.859482	0.747294	-0.020265	0.663543	0.029177	0.697302	-0.676772	0.164662	0.169222	
13	0.503431	0.005219	0.023299	0.863706	0.514468	-0.002433	0.027621	0.857061	0.506658	-0.004545	0.032368	0.861527	0.510652	-0.011205	0.021060	0.859456	0.747307	-0.020260	0.663530	0.029141	0.697297	-0.676784	0.164673	0.169184	
14	0.503351	0.005221	0.023269	0.863753	0.514479	-0.002424	0.027612	0.857055	0.506602	-0.004511	0.032326	0.861562	0.510727	-0.011171	0.021026	0.859413	0.747299	-0.020242	0.663542	0.029096	0.697291	-0.676786	0.164717	0.169159	
15	0.503325	0.005227	0.023262	0.863768	0.514496	-0.002415	0.027600	0.857045	0.506597	-0.004501	0.032327	0.861565	0.510754	-0.011164	0.021027	0.859397	0.747398	-0.020408	0.663413	0.029389	0.697313	-0.676814	0.164368	0.169292	
16	0.503301	0.005240	0.023276	0.863782	0.514548	-0.002423	0.027596	0.857014	0.506600	-0.004518	0.032345	0.861563	0.510713	-0.011165	0.021058	0.859421	0.747286	-0.020213	0.663556	0.029146	0.697321	-0.676747	0.164710	0.169195	
17	0.503231	0.005250	0.023280	0.863822	0.514629	-0.002440	0.027600	0.856965	0.506603	-0.004525	0.032340	0.861561	0.510676	-0.011146	0.021072	0.859443	0.747336	-0.020291	0.663497	0.029129	0.697282	-0.676814	0.164639	0.169157	
18	0.503191	0.005248	0.023273	0.863846	0.514717	-0.002444	0.027596	0.856913	0.506576	-0.004529	0.032344	0.861577	0.510726	-0.011144	0.021074	0.859413	0.747325	-0.020289	0.663508	0.029175	0.697295	-0.676795	0.164622	0.169197	
19	0.503246	0.005247	0.023280	0.863814	0.514757	-0.002433	0.027595	0.856888	0.506478	-0.004531	0.032338	0.861635	0.510755	-0.011142	0.021084	0.859396	0.747370	-0.020430	0.663445	0.029337	0.697276	-0.676839	0.164423	0.169295	
20	0.503319	0.005253	0.023293	0.863771	0.514779	-0.002428	0.027598	0.856875	0.506410	-0.004525	0.032326	0.861675	0.510750	-0.011145	0.021103	0.859398	0.747295	-0.020347	0.663541	0.029141	0.697241	-0.676836	0.164654	0.169223	
21	0.503308	0.005253	0.023288	0.863777	0.514826	-0.002435	0.027598	0.856847	0.506415	-0.004515	0.032332	0.861671	0.510761	-0.011167	0.021113	0.859391	0.747351	-0.020286	0.663483	0.029068	0.697270	-0.676834	0.164664	0.169102	
22	0.503252	0.005239	0.023271	0.863810	0.514847	-0.002432	0.027606	0.856834	0.506289	-0.004519	0.032349	0.861745	0.510712	-0.011165	0.021102	0.859420	0.747306	-0.020270	0.663531	0.029154	0.697295	-0.676786	0.164663	0.169197	
23	0.503254	0.005234	0.023273	0.863809	0.514828	-0.002419	0.027604	0.856845	0.506168	-0.004511	0.032352	0.861816	0.510644	-0.011138	0.021074	0.859462	0.747323	-0.020252	0.663513	0.029135	0.697304	-0.676784	0.164664	0.169163	
24	0.503319	0.005242	0.023273	0.863772	0.514805	-0.002410	0.027593	0.856860	0.506113	-0.004507	0.032344	0.861849	0.510630	-0.011124	0.021038	0.859471	0.747313	-0.020242	0.663524	0.029141	0.697309	-0.676774	0.164673	0.169173	
25	0.503381	0.005250	0.023245	0.863736	0.514816	-0.002407	0.027588	0.856853	0.506054	-0.004528	0.032346	0.861883	0.510673	-0.011139	0.021002	0.859446	0.747294	-0.020268	0.663549	0.029045	0.697257	-0.676818	0.164745	0.169141	
26	0.503443	0.005274	0.023245	0.863699	0.514858	-0.002400	0.027589	0.856828	0.506083	-0.004532	0.032341	0.861866	0.510712	-0.011135	0.020990	0.859423	0.747332	-0.020282	0.663501	0.029142	0.697291	-0.676803	0.164639	0.169166	
27	0.503483	0.005317	0.023238	0.863676	0.514881	-0.002410	0.027610	0.856814	0.506130	-0.004524	0.032323	0.861840	0.510706	-0.011123	0.021033	0.859426	0.747316	-0.020323	0.663517	0.029167	0.697269	-0.676817	0.164625	0.169211	
28	0.503481	0.005335	0.023229	0.863677	0.514862	-0.002424	0.027649	0.856824	0.506146	-0.004525	0.032306	0.861830	0.510671	-0.011116	0.021096	0.859446	0.747312	-0.020276	0.663524	0.029143	0.697290	-0.676794	0.164661	0.169186	
29	0.503453	0.005296	0.023264	0.863693	0.514827	-0.002417	0.027676	0.856844	0.506183	-0.004534	0.032312	0.861808	0.510651	-0.011108	0.021117	0.859457	0.747318	-0.020303	0.663515	0.029182	0.697288	-0.676799	0.164621	0.169212	
30	0.503420	0.005293	0.023264	0.863712	0.514811	-0.002441	0.027666	0.856854	0.506212	-0.004555	0.032339	0.861791	0.510666	-0.011119	0.021116	0.859448	0.747327	-0.020266	0.663508	0.029134	0.697297	-0.676794	0.164654	0.169162	
31	0.503389	0.005302	0.023246	0.863731	0.514826	-0.002453	0.027652	0.856845	0.506211	-0.004560	0.032358	0.861790	0.510692	-0.011117	0.021117	0.859432	0.747341	-0.020273	0.663492	0.029120	0.697292	-0.676806	0.164646	0.169140	
32	0.503369	0.005287	0.023247	0.863743	0.514845	-0.002448	0.027643	0.856834	0.506223	-0.004553	0.032355	0.861783	0.510717	-0.011103	0.021121	0.859418	0.747302	-0.020202	0.663540	0.029096	0.697316	-0.676761	0.164728	0.169145	
33	0.503360	0.005283	0.023255	0.863748	0.514835	-0.002478	0.027619	0.856841	0.506304	-0.004568	0.032346	0.861736	0.510742	-0.011117	0.021122	0.859403	0.747295	-0.020155	0.663550	0.029055	0.697329	-0.676743	0.164777	0.169111	
34	0.503345	0.005295	0.023267	0.863756	0.514830	-0.002477	0.027613	0.856844	0.506408	-0.004551	0.032356	0.861675	0.510735	-0.011125	0.021126	0.859406	0.747313	-0.020274	0.663521	0.029191	0.697307	-0.676777	0.164630	0.169214	
35	0.503335	0.005298	0.023268	0.863762	0.514868	-0.002474	0.027617	0.856821	0.506476	-0.004539	0.032365	0.861635	0.510750	-0.011117	0.021135	0.859398	0.747339	-0.020216	0.663496	0.029134	0.697330	-0.676765	0.164660	0.169134	
36	0.503340	0.005288	0.023242	0.863760	0.514933	-0.002503	0.027616	0.856782	0.506515	-0.004550	0.032358	0.861612	0.510821	-0.011111	0.021144	0.859355	0.747308	-0.020284	0.663524	0.029236	0.697314	-0.676767	0.164604	0.169250	
37	0.503349	0.005283	0.023210	0.863755	0.514967	-0.002518	0.027619	0.856761	0.506570	-0.004530	0.032351	0.861580	0.510879	-0.011120	0.021140	0.859321	0.747302	-0.020293	0.663535	0.029158	0.697281	-0.676798	0.164656	0.169211	
