Martin	// User ID
7-7-2023	// Evaluation date
CON_SO_R1	7-7-2023	10:18:29:719	// Source file name and timestamp
100.000	// Sampling rate
120.000	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
22	0.515416	-0.190240	0.284563	0.785608	0.522227	-0.200115	0.286240	0.778010	0.516148	-0.198381	0.289285	0.781377	0.529066	-0.211549	0.282615	0.771664	0.672941	0.203237	0.709315	0.052132	0.805541	-0.495297	0.280562	0.164530	
23	0.520174	-0.184526	0.274075	0.787561	0.527005	-0.194177	0.275898	0.780027	0.522106	-0.191608	0.276781	0.783635	0.533775	-0.205699	0.272367	0.773685	0.672284	0.186884	0.714859	0.045662	0.794913	-0.509491	0.282694	0.169163	
24	0.529191	-0.173507	0.253864	0.790825	0.536214	-0.182962	0.255938	0.783259	0.530887	-0.181072	0.257163	0.786917	0.543632	-0.193524	0.250461	0.777356	0.671189	0.170860	0.720249	0.039426	0.784227	-0.523081	0.284840	0.173897	
25	0.533944	-0.167314	0.242158	0.792635	0.541106	-0.176618	0.244399	0.785035	0.535555	-0.175253	0.245974	0.788647	0.551665	-0.182704	0.230387	0.780517	0.670064	0.153876	0.725448	0.032563	0.772673	-0.537415	0.286922	0.178432	
26	0.539177	-0.160312	0.228075	0.794714	0.546640	-0.169403	0.230341	0.787039	0.541263	-0.168243	0.231603	0.790625	0.555918	-0.176631	0.218586	0.782290	0.668790	0.136301	0.730396	0.025756	0.760605	-0.551939	0.288654	0.183093	
27	0.546615	-0.150457	0.208229	0.797004	0.556026	-0.157410	0.206330	0.789610	0.548866	-0.158705	0.212006	0.792851	0.560652	-0.170559	0.205879	0.783705	0.667181	0.119846	0.734923	0.019854	0.749161	-0.565100	0.290060	0.187842	
28	0.550227	-0.146102	0.198307	0.797859	0.562649	-0.149166	0.188237	0.791039	0.552528	-0.154371	0.202152	0.793736	0.567920	-0.160978	0.185272	0.785638	0.665585	0.102310	0.739149	0.013676	0.736888	-0.578958	0.291065	0.192576	
29	0.556944	-0.137736	0.179268	0.799190	0.566489	-0.144335	0.177330	0.791715	0.559135	-0.146275	0.183726	0.795120	0.572049	-0.155479	0.173101	0.786525	0.663947	0.085994	0.742778	0.007781	0.725221	-0.591704	0.291939	0.196755	
30	0.565034	-0.126670	0.154941	0.800427	0.572075	-0.136825	0.161095	0.792501	0.565103	-0.138497	0.166464	0.796095	0.576748	-0.148984	0.158735	0.787381	0.662324	0.069182	0.746011	0.002827	0.713458	-0.604342	0.291821	0.201464	
31	0.569928	-0.119396	0.139169	0.800974	0.578639	-0.127430	0.140947	0.793141	0.568565	-0.133651	0.155972	0.796582	0.583187	-0.139312	0.137968	0.788321	0.660191	0.052719	0.749237	-0.003443	0.701125	-0.616872	0.292770	0.205375	
32	0.573195	-0.114109	0.128251	0.801236	0.581723	-0.122258	0.130647	0.793463	0.575159	-0.123677	0.134858	0.797314	0.586211	-0.134260	0.127743	0.788678	0.658107	0.037159	0.751952	-0.009062	0.689420	-0.628460	0.293288	0.209093	
33	0.578575	-0.104574	0.109152	0.801499	0.586960	-0.112912	0.112439	0.793779	0.579073	-0.117203	0.121525	0.797603	0.591224	-0.124984	0.109493	0.789205	0.655756	0.020401	0.754557	-0.014532	0.676839	-0.640581	0.293325	0.213321	
34	0.582998	-0.096040	0.092261	0.801485	0.591802	-0.103788	0.094714	0.793743	0.582589	-0.110586	0.108601	0.797852	0.597314	-0.112649	0.085589	0.789431	0.654015	0.004157	0.756221	-0.019392	0.664865	-0.652217	0.292362	0.217006	
35	0.585370	-0.090704	0.082175	0.801475	0.594184	-0.098424	0.084970	0.793749	0.588739	-0.098361	0.084708	0.797832	0.600880	-0.104431	0.070367	0.789358	0.651394	-0.011185	0.758197	-0.026424	0.652223	-0.663548	0.293494	0.219477	
36	0.589927	-0.080115	0.062093	0.801069	0.598899	-0.087604	0.064950	0.793364	0.592983	-0.088652	0.066418	0.797560	0.603123	-0.098922	0.060235	0.789195	0.648777	-0.027185	0.759824	-0.031894	0.639607	-0.674686	0.293239	0.222964	
37	0.592711	-0.073136	0.048889	0.800596	0.601837	-0.080389	0.051579	0.792887	0.595278	-0.082966	0.055959	0.797263	0.606753	-0.089288	0.042688	0.788705	0.645890	-0.042397	0.761332	-0.037436	0.627226	-0.685133	0.293306	0.226169	
