Martin	// User ID
7-7-2023	// Evaluation date
CON_VE_R2	7-7-2023	10:01:38:691	// Source file name and timestamp
100.000	// Sampling rate
35.344	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.672577	0.035172	-0.706226	-0.218283	0.689116	-0.036959	-0.708502	-0.147573	0.698137	-0.107135	-0.703570	-0.078209	0.688524	-0.098788	-0.713006	-0.088302	0.240824	0.403444	-0.682640	0.559679	0.367362	0.530351	-0.719184	-0.257965	
1	0.672575	0.035160	-0.706229	-0.218282	0.689126	-0.037001	-0.708498	-0.147539	0.698139	-0.107145	-0.703571	-0.078160	0.688523	-0.098708	-0.713010	-0.088372	0.240864	0.402399	-0.683176	0.559759	0.366616	0.529857	-0.719949	-0.257910	
2	0.672584	0.035155	-0.706228	-0.218261	0.689142	-0.037058	-0.708491	-0.147481	0.698148	-0.107139	-0.703569	-0.078108	0.688519	-0.098660	-0.713014	-0.088425	0.240860	0.402668	-0.683096	0.559664	0.366768	0.529977	-0.719748	-0.258010	
3	0.672594	0.035130	-0.706237	-0.218203	0.689151	-0.037084	-0.708485	-0.147458	0.698161	-0.107133	-0.703560	-0.078078	0.688522	-0.098686	-0.713013	-0.088386	0.240815	0.403475	-0.682658	0.559638	0.367355	0.530370	-0.719158	-0.258010	
4	0.672601	0.035095	-0.706247	-0.218154	0.689146	-0.037067	-0.708485	-0.147488	0.698151	-0.107104	-0.703573	-0.078099	0.688523	-0.098703	-0.713015	-0.088337	0.240794	0.403287	-0.682702	0.559728	0.367245	0.530305	-0.719299	-0.257910	
5	0.672593	0.035093	-0.706253	-0.218161	0.689142	-0.037054	-0.708482	-0.147527	0.698144	-0.107033	-0.703587	-0.078129	0.688517	-0.098701	-0.713022	-0.088329	0.240775	0.403459	-0.682663	0.559661	0.367326	0.530392	-0.719168	-0.257979	
6	0.672575	0.035138	-0.706256	-0.218199	0.689148	-0.037062	-0.708474	-0.147534	0.698143	-0.106982	-0.703595	-0.078136	0.688509	-0.098694	-0.713030	-0.088333	0.240870	0.402524	-0.683097	0.559763	0.366722	0.529909	-0.719859	-0.257903	
7	0.672565	0.035194	-0.706256	-0.218222	0.689165	-0.037084	-0.708463	-0.147504	0.698134	-0.106970	-0.703604	-0.078150	0.688510	-0.098683	-0.713033	-0.088318	0.240790	0.403472	-0.682698	0.559602	0.367312	0.530385	-0.719155	-0.258048	
8	0.672561	0.035225	-0.706254	-0.218234	0.689187	-0.037123	-0.708448	-0.147462	0.698128	-0.106897	-0.703614	-0.078212	0.688522	-0.098679	-0.713024	-0.088300	0.240777	0.403399	-0.682692	0.559668	0.367284	0.530364	-0.719212	-0.257973	
9	0.672550	0.035273	-0.706253	-0.218263	0.689197	-0.037156	-0.708443	-0.147428	0.698123	-0.106869	-0.703621	-0.078230	0.688531	-0.098691	-0.713017	-0.088272	0.240804	0.402591	-0.683094	0.559746	0.366715	0.529986	-0.719803	-0.257912	
