Martin	// User ID
7-7-2023	// Evaluation date
CON_HO_R3	7-7-2023	09:53:43:438	// Source file name and timestamp
100.000	// Sampling rate
32.478	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.254554	-0.006525	-0.014984	-0.966920	0.223301	-0.002167	-0.023337	-0.974468	0.267940	-0.007076	-0.026978	-0.963032	0.270508	0.007037	-0.024621	-0.962377	0.997191	-0.019137	-0.072294	0.004206	0.613769	-0.583923	-0.378351	-0.373058	
1	0.254483	-0.006495	-0.014964	-0.966940	0.223316	-0.002163	-0.023337	-0.974464	0.267852	-0.007083	-0.026988	-0.963056	0.270562	0.007078	-0.024620	-0.962362	0.997183	-0.019310	-0.072343	0.004418	0.613716	-0.583946	-0.378566	-0.372891	
2	0.254439	-0.006462	-0.014958	-0.966952	0.223275	-0.002151	-0.023336	-0.974474	0.267884	-0.007080	-0.026968	-0.963048	0.270664	0.007127	-0.024588	-0.962333	0.997202	-0.019026	-0.072160	0.004259	0.613904	-0.583887	-0.378263	-0.372982	
3	0.254422	-0.006470	-0.014978	-0.966956	0.223208	-0.002125	-0.023328	-0.974489	0.267927	-0.007090	-0.026947	-0.963036	0.270741	0.007144	-0.024538	-0.962313	0.997186	-0.019304	-0.072295	0.004475	0.613757	-0.583941	-0.378569	-0.372828	
4	0.254259	-0.006467	-0.014988	-0.966999	0.223174	-0.002126	-0.023330	-0.974497	0.267956	-0.007105	-0.026942	-0.963028	0.270733	0.007158	-0.024522	-0.962316	0.997198	-0.019087	-0.072217	0.004148	0.613808	-0.583940	-0.378252	-0.373067	
5	0.254203	-0.006454	-0.014993	-0.967013	0.223070	-0.002115	-0.023328	-0.974521	0.267922	-0.007096	-0.026947	-0.963038	0.270694	0.007161	-0.024523	-0.962326	0.997195	-0.019123	-0.072241	0.004180	0.613788	-0.583943	-0.378298	-0.373049	
6	0.254237	-0.006456	-0.014983	-0.967004	0.222954	-0.002095	-0.023326	-0.974548	0.267846	-0.007078	-0.026964	-0.963058	0.270676	0.007162	-0.024521	-0.962332	0.997195	-0.019078	-0.072249	0.004167	0.613808	-0.583916	-0.378280	-0.373076	
7	0.254171	-0.006472	-0.014955	-0.967022	0.222940	-0.002089	-0.023330	-0.974551	0.267779	-0.007078	-0.026984	-0.963076	0.270671	0.007180	-0.024529	-0.962332	0.997192	-0.019057	-0.072309	0.004138	0.613789	-0.583889	-0.378293	-0.373137	
8	0.254137	-0.006471	-0.014953	-0.967031	0.222940	-0.002052	-0.023316	-0.974551	0.267710	-0.007078	-0.026978	-0.963096	0.270643	0.007200	-0.024563	-0.962339	0.997195	-0.019109	-0.072245	0.004198	0.613801	-0.583927	-0.378307	-0.373044	
9	0.254137	-0.006469	-0.014942	-0.967031	0.222913	-0.002018	-0.023311	-0.974557	0.267732	-0.007068	-0.026981	-0.963090	0.270642	0.007200	-0.024565	-0.962340	0.997196	-0.019063	-0.072241	0.004186	0.613827	-0.583903	-0.378281	-0.373064	
10	0.254153	-0.006474	-0.014923	-0.967027	0.222897	-0.002008	-0.023313	-0.974561	0.267782	-0.007067	-0.027015	-0.963075	0.270674	0.007195	-0.024536	-0.962331	0.997194	-0.019118	-0.072252	0.004213	0.613799	-0.583925	-0.378323	-0.373034	
11	0.254203	-0.006460	-0.014913	-0.967014	0.222892	-0.001997	-0.023302	-0.974563	0.267756	-0.007085	-0.027052	-0.963081	0.270685	0.007200	-0.024525	-0.962329	0.997196	-0.019135	-0.072227	0.004199	0.613792	-0.583950	-0.378304	-0.373024	
12	0.254241	-0.006419	-0.014859	-0.967005	0.222799	-0.001964	-0.023320	-0.974583	0.267803	-0.007070	-0.027067	-0.963067	0.270659	0.007177	-0.024523	-0.962336	0.997192	-0.019131	-0.072277	0.004219	0.613783	-0.583922	-0.378347	-0.373041	
13	0.254273	-0.006414	-0.014830	-0.966997	0.222733	-0.001946	-0.023334	-0.974598	0.267849	-0.007051	-0.027066	-0.963055	0.270653	0.007169	-0.024531	-0.962338	0.997195	-0.019101	-0.072242	0.004188	0.613804	-0.583926	-0.378296	-0.373051	
14	0.254310	-0.006440	-0.014849	-0.966987	0.222717	-0.001946	-0.023316	-0.974602	0.267860	-0.007054	-0.027070	-0.963052	0.270661	0.007195	-0.024540	-0.962335	0.997194	-0.019115	-0.072260	0.004175	0.613784	-0.583933	-0.378304	-0.373065	
15	0.254319	-0.006451	-0.014856	-0.966985	0.222654	-0.001937	-0.023295	-0.974617	0.267905	-0.007060	-0.027084	-0.963039	0.270625	0.007203	-0.024542	-0.962345	0.997193	-0.019111	-0.072272	0.004203	0.613792	-0.583916	-0.378327	-0.373055	
