Martin	// User ID
7-7-2023	// Evaluation date
COM_MP_R4	7-7-2023	10:12:29:790	// Source file name and timestamp
100.000	// Sampling rate
33.465	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.812342	0.000991	0.021426	0.582787	0.806566	-0.007171	0.022703	0.590664	0.792511	-0.010714	0.026224	0.609199	0.811376	-0.013260	0.012361	0.584244	0.405126	-0.013920	0.913490	0.034864	0.561780	-0.550709	0.436257	0.436810	
1	0.812330	0.000985	0.021425	0.582804	0.806606	-0.007156	0.022689	0.590610	0.792513	-0.010719	0.026234	0.609197	0.811309	-0.013246	0.012357	0.584336	0.405109	-0.013912	0.913499	0.034823	0.561763	-0.550710	0.436295	0.436792	
2	0.812323	0.000995	0.021444	0.582813	0.806594	-0.007133	0.022690	0.590628	0.792526	-0.010735	0.026250	0.609179	0.811266	-0.013227	0.012363	0.584397	0.405123	-0.013864	0.913492	0.034880	0.561817	-0.550666	0.436269	0.436804	
3	0.812309	0.001012	0.021488	0.582830	0.806612	-0.007099	0.022668	0.590604	0.792518	-0.010735	0.026260	0.609188	0.811296	-0.013214	0.012363	0.584355	0.405154	-0.013952	0.913480	0.034784	0.561748	-0.550769	0.436279	0.436753	
4	0.812303	0.000997	0.021490	0.582839	0.806617	-0.007092	0.022664	0.590597	0.792502	-0.010676	0.026253	0.609211	0.811333	-0.013218	0.012363	0.584303	0.405144	-0.013859	0.913481	0.034899	0.561837	-0.550667	0.436245	0.436802	
5	0.812294	0.000968	0.021468	0.582853	0.806584	-0.007098	0.022677	0.590642	0.792480	-0.010631	0.026253	0.609240	0.811340	-0.013222	0.012362	0.584294	0.405052	-0.013982	0.913520	0.034907	0.561719	-0.550701	0.436253	0.436901	
6	0.812277	0.000961	0.021460	0.582876	0.806548	-0.007092	0.022687	0.590690	0.792457	-0.010646	0.026264	0.609269	0.811323	-0.013213	0.012346	0.584319	0.405192	-0.013954	0.913455	0.035004	0.561838	-0.550714	0.436117	0.436868	
7	0.812260	0.000969	0.021447	0.582900	0.806541	-0.007099	0.022705	0.590699	0.792446	-0.010646	0.026258	0.609284	0.811290	-0.013208	0.012319	0.584365	0.405124	-0.013880	0.913492	0.034843	0.561796	-0.550689	0.436286	0.436785	
8	0.812187	0.000982	0.021436	0.583002	0.806522	-0.007129	0.022726	0.590724	0.792442	-0.010648	0.026261	0.609289	0.811258	-0.013215	0.012308	0.584409	0.405118	-0.013878	0.913494	0.034863	0.561801	-0.550679	0.436277	0.436801	
9	0.812104	0.000986	0.021431	0.583118	0.806505	-0.007155	0.022740	0.590747	0.792429	-0.010665	0.026271	0.609305	0.811257	-0.013200	0.012327	0.584410	0.405081	-0.013853	0.913511	0.034865	0.561798	-0.550646	0.436307	0.436816	
10	0.812068	0.000984	0.021426	0.583168	0.806522	-0.007154	0.022745	0.590723	0.792406	-0.010673	0.026267	0.609335	0.811300	-0.013166	0.012358	0.584351	0.405141	-0.013929	0.913486	0.034802	0.561762	-0.550742	0.436284	0.436765	
11	0.812032	0.000999	0.021424	0.583219	0.806552	-0.007150	0.022744	0.590682	0.792396	-0.010664	0.026256	0.609349	0.811358	-0.013197	0.012365	0.584269	0.405136	-0.013891	0.913490	0.034761	0.561768	-0.550729	0.436325	0.436731	
12	0.812015	0.001009	0.021423	0.583242	0.806568	-0.007166	0.022739	0.590661	0.792401	-0.010655	0.026247	0.609342	0.811379	-0.013222	0.012371	0.584240	0.405140	-0.013902	0.913486	0.034807	0.561779	-0.550723	0.436290	0.436760	
13	0.811989	0.001017	0.021416	0.583279	0.806574	-0.007190	0.022728	0.590653	0.792399	-0.010661	0.026245	0.609345	0.811332	-0.013223	0.012380	0.584305	0.405089	-0.013915	0.913508	0.034810	0.561747	-0.550708	0.436315	0.436797	
14	0.811927	0.001032	0.021396	0.583366	0.806585	-0.007204	0.022718	0.590637	0.792389	-0.010672	0.026246	0.609358	0.811247	-0.013238	0.012375	0.584422	0.405113	-0.013896	0.913497	0.034825	0.561775	-0.550701	0.436298	0.436786	
15	0.811931	0.001023	0.021361	0.583362	0.806591	-0.007216	0.022729	0.590629	0.792419	-0.010667	0.026239	0.609319	0.811195	-0.013246	0.012368	0.584495	0.405121	-0.013834	0.913497	0.034777	0.561801	-0.550680	0.436345	0.436732	
16	0.811995	0.001018	0.021344	0.583273	0.806562	-0.007220	0.022746	0.590668	0.792478	-0.010658	0.026235	0.609242	0.811167	-0.013253	0.012364	0.584533	0.405141	-0.013861	0.913487	0.034789	0.561799	-0.550703	0.436315	0.436735	
17	0.812041	0.001024	0.021347	0.583209	0.806501	-0.007211	0.022748	0.590750	0.792523	-0.010659	0.026233	0.609184	0.811183	-0.013267	0.012363	0.584511	0.405165	-0.013845	0.913476	0.034814	0.561828	-0.550695	0.436290	0.436732	
18	0.812025	0.001026	0.021343	0.583232	0.806452	-0.007200	0.022739	0.590819	0.792547	-0.010658	0.026223	0.609153	0.811251	-0.013274	0.012365	0.584417	0.405160	-0.013881	0.913476	0.034857	0.561818	-0.550701	0.436254	0.436773	
19	0.812003	0.001038	0.021335	0.583263	0.806447	-0.007214	0.022744	0.590825	0.792605	-0.010627	0.026221	0.609079	0.811262	-0.013249	0.012361	0.584402	0.405177	-0.013858	0.913471	0.034781	0.561816	-0.550720	0.436299	0.436708	
20	0.811982	0.001004	0.021364	0.583291	0.806463	-0.007223	0.022753	0.590802	0.792658	-0.010611	0.026228	0.609009	0.811287	-0.013226	0.012355	0.584368	0.405120	-0.013848	0.913493	0.034885	0.561827	-0.550653	0.436273	0.436804	
21	0.811973	0.000957	0.021404	0.583301	0.806463	-0.007213	0.022748	0.590803	0.792661	-0.010617	0.026235	0.609006	0.811344	-0.013217	0.012347	0.584290	0.405150	-0.013859	0.913484	0.034754	0.561793	-0.550717	0.436332	0.436708	
22	0.811987	0.000983	0.021399	0.583282	0.806437	-0.007209	0.022732	0.590839	0.792624	-0.010605	0.026237	0.609054	0.811351	-0.013205	0.012333	0.584279	0.405100	-0.013859	0.913503	0.034842	0.561796	-0.550665	0.436309	0.436793	
23	0.811962	0.000980	0.021395	0.583317	0.806412	-0.007231	0.022717	0.590873	0.792587	-0.010608	0.026239	0.609101	0.811345	-0.013203	0.012315	0.584289	0.405144	-0.013806	0.913488	0.034743	0.561818	-0.550685	0.436361	0.436687	
24	0.811924	0.000961	0.021398	0.583371	0.806403	-0.007265	0.022718	0.590886	0.792566	-0.010625	0.026242	0.609129	0.811351	-0.013212	0.012303	0.584281	0.405110	-0.013838	0.913499	0.034830	0.561810	-0.550661	0.436317	0.436772	
25	0.811898	0.000962	0.021388	0.583407	0.806391	-0.007287	0.022732	0.590900	0.792557	-0.010638	0.026245	0.609140	0.811369	-0.013221	0.012301	0.584255	0.405075	-0.013848	0.913517	0.034768	0.561766	-0.550672	0.436373	0.436759	
26	0.811870	0.000957	0.021375	0.583446	0.806357	-0.007289	0.022742	0.590947	0.792545	-0.010647	0.026249	0.609155	0.811398	-0.013220	0.012303	0.584215	0.405127	-0.013909	0.913492	0.034803	0.561767	-0.550723	0.436299	0.436768	
27	0.811875	0.000951	0.021380	0.583438	0.806325	-0.007285	0.022743	0.590991	0.792488	-0.010632	0.026255	0.609229	0.811433	-0.013213	0.012310	0.584166	0.405137	-0.013849	0.913489	0.034787	0.561803	-0.550695	0.436323	0.436732	
