Martin	// User ID
7-7-2023	// Evaluation date
CON_HO_R1	7-7-2023	09:51:08:105	// Source file name and timestamp
100.000	// Sampling rate
37.963	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.264807	-0.007318	-0.015619	-0.964147	0.231898	-0.002341	-0.023318	-0.972458	0.273601	-0.007021	-0.026306	-0.961458	0.279707	0.006591	-0.024374	-0.959753	0.997319	-0.018761	-0.070612	0.004122	0.614592	-0.584354	-0.377123	-0.372269	
1	0.264745	-0.007328	-0.015597	-0.964164	0.231868	-0.002319	-0.023325	-0.972465	0.273558	-0.007017	-0.026303	-0.961470	0.279692	0.006574	-0.024401	-0.959757	0.997319	-0.018758	-0.070613	0.004138	0.614600	-0.584347	-0.377132	-0.372260	
2	0.264688	-0.007317	-0.015593	-0.964180	0.231826	-0.002336	-0.023350	-0.972474	0.273540	-0.007004	-0.026317	-0.961475	0.279632	0.006530	-0.024422	-0.959775	0.997316	-0.018801	-0.070646	0.004112	0.614552	-0.584370	-0.377152	-0.372282	
3	0.264652	-0.007329	-0.015591	-0.964190	0.231824	-0.002331	-0.023366	-0.972474	0.273562	-0.007005	-0.026312	-0.961469	0.279512	0.006539	-0.024421	-0.959809	0.997318	-0.018756	-0.070633	0.004120	0.614587	-0.584344	-0.377133	-0.372284	
4	0.264616	-0.007335	-0.015609	-0.964200	0.231838	-0.002328	-0.023366	-0.972471	0.273558	-0.007002	-0.026291	-0.961471	0.279490	0.006544	-0.024416	-0.959816	0.997316	-0.018807	-0.070634	0.004110	0.614552	-0.584379	-0.377146	-0.372274	
5	0.264596	-0.007327	-0.015625	-0.964205	0.231876	-0.002346	-0.023371	-0.972462	0.273522	-0.006996	-0.026287	-0.961481	0.279550	0.006536	-0.024413	-0.959798	0.997319	-0.018749	-0.070614	0.004117	0.614597	-0.584347	-0.377117	-0.372278	
6	0.264593	-0.007312	-0.015611	-0.964206	0.231933	-0.002364	-0.023385	-0.972448	0.273488	-0.006987	-0.026305	-0.961490	0.279577	0.006538	-0.024421	-0.959790	0.997318	-0.018777	-0.070623	0.004146	0.614587	-0.584352	-0.377150	-0.372255	
7	0.264552	-0.007290	-0.015580	-0.964218	0.231956	-0.002352	-0.023388	-0.972442	0.273480	-0.006966	-0.026309	-0.961493	0.279547	0.006521	-0.024456	-0.959798	0.997317	-0.018775	-0.070635	0.004123	0.614576	-0.584354	-0.377143	-0.372277	
8	0.264507	-0.007273	-0.015569	-0.964231	0.231952	-0.002342	-0.023407	-0.972443	0.273500	-0.006974	-0.026307	-0.961487	0.279535	0.006495	-0.024492	-0.959801	0.997319	-0.018751	-0.070606	0.004138	0.614606	-0.584345	-0.377126	-0.372259	
9	0.264495	-0.007275	-0.015559	-0.964234	0.231952	-0.002342	-0.023426	-0.972442	0.273546	-0.006996	-0.026318	-0.961473	0.279561	0.006477	-0.024502	-0.959793	0.997315	-0.018828	-0.070640	0.004157	0.614553	-0.584375	-0.377184	-0.372241	
10	0.264495	-0.007285	-0.015550	-0.964234	0.231986	-0.002343	-0.023420	-0.972434	0.273598	-0.006999	-0.026329	-0.961458	0.279592	0.006472	-0.024493	-0.959785	0.997322	-0.018763	-0.070576	0.004080	0.614590	-0.584383	-0.377076	-0.372275	
11	0.264462	-0.007275	-0.015598	-0.964242	0.232063	-0.002350	-0.023413	-0.972416	0.273632	-0.007003	-0.026309	-0.961449	0.279611	0.006479	-0.024495	-0.959779	0.997318	-0.018736	-0.070627	0.004096	0.614593	-0.584341	-0.377108	-0.372303	
12	0.264432	-0.007268	-0.015644	-0.964250	0.232087	-0.002340	-0.023414	-0.972410	0.273678	-0.007007	-0.026285	-0.961436	0.279645	0.006494	-0.024509	-0.959769	0.997321	-0.018703	-0.070603	0.004081	0.614618	-0.584334	-0.377074	-0.372309	
13	0.264403	-0.007253	-0.015654	-0.964258	0.232066	-0.002308	-0.023396	-0.972416	0.273719	-0.007002	-0.026280	-0.961425	0.279703	0.006496	-0.024506	-0.959752	0.997319	-0.018764	-0.070616	0.004116	0.614587	-0.584357	-0.377123	-0.372275	
14	0.264363	-0.007221	-0.015652	-0.964269	0.232061	-0.002274	-0.023358	-0.972418	0.273718	-0.006992	-0.026285	-0.961425	0.279759	0.006488	-0.024483	-0.959736	0.997320	-0.018740	-0.070605	0.004072	0.614591	-0.584360	-0.377082	-0.372304	
15	0.264357	-0.007214	-0.015650	-0.964271	0.232030	-0.002262	-0.023359	-0.972426	0.273709	-0.006981	-0.026278	-0.961428	0.279771	0.006523	-0.024475	-0.959733	0.997320	-0.018740	-0.070598	0.004098	0.614602	-0.584354	-0.377093	-0.372283	
