Martin	// User ID
7-7-2023	// Evaluation date
CON_VE_R1	7-7-2023	10:00:26:280	// Source file name and timestamp
100.000	// Sampling rate
36.858	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.676737	0.010296	-0.706593	-0.206514	0.690287	-0.054655	-0.707111	-0.143214	0.698593	-0.126099	-0.700595	-0.072345	0.688172	-0.112712	-0.711289	-0.088223	0.246137	0.397020	-0.682060	0.562660	0.368162	0.523766	-0.724494	-0.255410	
1	0.676720	0.010281	-0.706619	-0.206480	0.690285	-0.054681	-0.707116	-0.143193	0.698591	-0.126120	-0.700595	-0.072319	0.688164	-0.112693	-0.711300	-0.088222	0.246146	0.397064	-0.682039	0.562651	0.368198	0.523779	-0.724462	-0.255421	
2	0.676717	0.010260	-0.706632	-0.206445	0.690278	-0.054711	-0.707123	-0.143182	0.698581	-0.126165	-0.700599	-0.072309	0.688169	-0.112704	-0.711296	-0.088203	0.246146	0.396988	-0.682097	0.562633	0.368127	0.523744	-0.724516	-0.255443	
3	0.676726	0.010269	-0.706623	-0.206449	0.690267	-0.054713	-0.707130	-0.143196	0.698569	-0.126225	-0.700600	-0.072316	0.688182	-0.112752	-0.711282	-0.088152	0.246147	0.397071	-0.682074	0.562602	0.368175	0.523780	-0.724454	-0.255477	
4	0.676724	0.010286	-0.706617	-0.206474	0.690254	-0.054681	-0.707138	-0.143232	0.698566	-0.126269	-0.700595	-0.072308	0.688193	-0.112806	-0.711271	-0.088082	0.246106	0.397144	-0.681984	0.562678	0.368246	0.523845	-0.724403	-0.255383	
5	0.676713	0.010259	-0.706628	-0.206476	0.690239	-0.054599	-0.707143	-0.143308	0.698571	-0.126245	-0.700596	-0.072282	0.688202	-0.112814	-0.711265	-0.088055	0.246145	0.397043	-0.682089	0.562604	0.368153	0.523769	-0.724474	-0.255475	
6	0.676711	0.010246	-0.706631	-0.206472	0.690226	-0.054445	-0.707142	-0.143433	0.698584	-0.126251	-0.700587	-0.072246	0.688214	-0.112808	-0.711259	-0.088011	0.246143	0.397125	-0.681996	0.562661	0.368250	0.523809	-0.724419	-0.255408	
7	0.676712	0.010267	-0.706620	-0.206502	0.690242	-0.054400	-0.707130	-0.143435	0.698599	-0.126307	-0.700568	-0.072187	0.688223	-0.112818	-0.711258	-0.087945	0.246167	0.396993	-0.682081	0.562641	0.368151	0.523731	-0.724515	-0.255437	
8	0.676706	0.010299	-0.706609	-0.206557	0.690286	-0.054541	-0.707111	-0.143262	0.698610	-0.126350	-0.700556	-0.072116	0.688221	-0.112832	-0.711262	-0.087906	0.246150	0.397103	-0.682028	0.562634	0.368221	0.523793	-0.724434	-0.255440	
9	0.676710	0.010334	-0.706602	-0.206567	0.690295	-0.054546	-0.707104	-0.143252	0.698616	-0.126367	-0.700549	-0.072097	0.688221	-0.112834	-0.711263	-0.087890	0.246131	0.397066	-0.682098	0.562584	0.368148	0.523788	-0.724456	-0.255496	
10	0.676726	0.010334	-0.706585	-0.206573	0.690294	-0.054525	-0.707107	-0.143251	0.698607	-0.126373	-0.700556	-0.072112	0.688221	-0.112813	-0.711269	-0.087866	0.246142	0.397154	-0.681993	0.562644	0.368262	0.523822	-0.724397	-0.255426	
11	0.676735	0.010328	-0.706570	-0.206597	0.690307	-0.054575	-0.707107	-0.143167	0.698603	-0.126364	-0.700559	-0.072124	0.688217	-0.112788	-0.711279	-0.087854	0.246161	0.397071	-0.682065	0.562607	0.368189	0.523770	-0.724456	-0.255472	
12	0.676730	0.010355	-0.706574	-0.206596	0.690317	-0.054609	-0.707103	-0.143127	0.698622	-0.126325	-0.700546	-0.072137	0.688208	-0.112765	-0.711286	-0.087897	0.246171	0.397005	-0.682100	0.562607	0.368144	0.523733	-0.724504	-0.255476	
13	0.676745	0.010331	-0.706573	-0.206551	0.690308	-0.054607	-0.707113	-0.143123	0.698614	-0.126258	-0.700561	-0.072188	0.688198	-0.112695	-0.711299	-0.087960	0.246126	0.397103	-0.682032	0.562640	0.368207	0.523811	-0.724432	-0.255430	
14	0.676750	0.010305	-0.706579	-0.206518	0.690313	-0.054610	-0.707112	-0.143104	0.698609	-0.126191	-0.700573	-0.072241	0.688197	-0.112658	-0.711305	-0.087967	0.246159	0.397115	-0.682066	0.562576	0.368203	0.523790	-0.724422	-0.255506	
15	0.676739	0.010286	-0.706595	-0.206499	0.690340	-0.054651	-0.707094	-0.143045	0.698622	-0.126141	-0.700566	-0.072274	0.688204	-0.112663	-0.711301	-0.087939	0.246102	0.397106	-0.682071	0.562601	0.368167	0.523828	-0.724425	-0.255471	
16	0.676751	0.010222	-0.706600	-0.206447	0.690360	-0.054714	-0.707084	-0.142975	0.698625	-0.126103	-0.700566	-0.072306	0.688206	-0.112638	-0.711301	-0.087953	0.246123	0.397065	-0.682088	0.562599	0.368150	0.523794	-0.724456	-0.255477	
17	0.676773	0.010195	-0.706593	-0.206402	0.690358	-0.054710	-0.707083	-0.142986	0.698628	-0.126079	-0.700565	-0.072333	0.688210	-0.112641	-0.711297	-0.087951	0.246149	0.397042	-0.682098	0.562593	0.368148	0.523765	-0.724475	-0.255488	
18	0.676792	0.010187	-0.706585	-0.206365	0.690340	-0.054661	-0.707093	-0.143047	0.698636	-0.126091	-0.700555	-0.072333	0.688210	-0.112666	-0.711294	-0.087947	0.246103	0.397093	-0.682041	0.562646	0.368184	0.523823	-0.724438	-0.255420	
19	0.676793	0.010179	-0.706591	-0.206339	0.690323	-0.054623	-0.707104	-0.143088	0.698640	-0.126105	-0.700548	-0.072329	0.688209	-0.112706	-0.711291	-0.087920	0.246171	0.397068	-0.682082	0.562585	0.368180	0.523760	-0.724458	-0.255499	
20	0.676765	0.010214	-0.706614	-0.206351	0.690320	-0.054596	-0.707105	-0.143108	0.698634	-0.126061	-0.700559	-0.072366	0.688217	-0.112775	-0.711285	-0.087823	0.246141	0.397096	-0.682112	0.562541	0.368153	0.523792	-0.724432	-0.255545	
21	0.676744	0.010261	-0.706626	-0.206379	0.690308	-0.054554	-0.707108	-0.143167	0.698628	-0.126035	-0.700568	-0.072383	0.688220	-0.112794	-0.711285	-0.087776	0.246136	0.397085	-0.682106	0.562558	0.368151	0.523792	-0.724441	-0.255525	
22	0.676752	0.010274	-0.706606	-0.206419	0.690299	-0.054522	-0.707110	-0.143213	0.698638	-0.126078	-0.700555	-0.072337	0.688231	-0.112828	-0.711276	-0.087719	0.246144	0.397063	-0.682089	0.562591	0.368159	0.523778	-0.724459	-0.255489	
23	0.676771	0.010250	-0.706582	-0.206444	0.690293	-0.054501	-0.707118	-0.143213	0.698656	-0.126148	-0.700531	-0.072270	0.688255	-0.112885	-0.711254	-0.087633	0.246128	0.397158	-0.682020	0.562614	0.368236	0.523833	-0.724391	-0.255458	
24	0.676772	0.010223	-0.706594	-0.206397	0.690270	-0.054445	-0.707140	-0.143239	0.698657	-0.126178	-0.700527	-0.072246	0.688267	-0.112846	-0.711248	-0.087637	0.246142	0.397143	-0.682051	0.562581	0.368215	0.523815	-0.724401	-0.255498	
25	0.676794	0.010170	-0.706599	-0.206314	0.690270	-0.054367	-0.707134	-0.143294	0.698666	-0.126239	-0.700513	-0.072190	0.688272	-0.112843	-0.711249	-0.087597	0.246100	0.397156	-0.682042	0.562602	0.368206	0.523851	-0.724389	-0.255469	
26	0.676809	0.010152	-0.706592	-0.206288	0.690291	-0.054319	-0.707112	-0.143321	0.698683	-0.126335	-0.700488	-0.072097	0.688256	-0.112872	-0.711267	-0.087544	0.246078	0.397134	-0.682033	0.562638	0.368193	0.523859	-0.724406	-0.255425	
27	0.676790	0.010207	-0.706596	-0.206334	0.690301	-0.054297	-0.707105	-0.143315	0.698692	-0.126397	-0.700476	-0.072025	0.688226	-0.112864	-0.711296	-0.087547	0.246145	0.397103	-0.682074	0.562581	0.368185	0.523794	-0.724430	-0.255500	
28	0.676774	0.010266	-0.706603	-0.206359	0.690290	-0.054238	-0.707114	-0.143343	0.698692	-0.126381	-0.700480	-0.072013	0.688234	-0.112856	-0.711293	-0.087522	0.246129	0.397130	-0.681993	0.562666	0.368247	0.523822	-0.724414	-0.255400	
29	0.676761	0.010310	-0.706606	-0.206389	0.690289	-0.054182	-0.707115	-0.143367	0.698703	-0.126325	-0.700478	-0.072027	0.688234	-0.112835	-0.711296	-0.087520	0.246150	0.397103	-0.682044	0.562615	0.368210	0.523792	-0.724433	-0.255462	
30	0.676754	0.010387	-0.706594	-0.206451	0.690303	-0.054172	-0.707107	-0.143344	0.698706	-0.126263	-0.700482	-0.072060	0.688220	-0.112794	-0.711313	-0.087549	0.246105	0.397131	-0.682045	0.562614	0.368197	0.523838	-0.724408	-0.255456	
31	0.676753	0.010481	-0.706575	-0.206511	0.690315	-0.054181	-0.707101	-0.143308	0.698689	-0.126183	-0.700506	-0.072128	0.688215	-0.112740	-0.711322	-0.087584	0.246109	0.397232	-0.682029	0.562560	0.368247	0.523878	-0.724333	-0.255516	
32	0.676755	0.010483	-0.706576	-0.206505	0.690312	-0.054144	-0.707100	-0.143343	0.698680	-0.126062	-0.700528	-0.072215	0.688210	-0.112678	-0.711328	-0.087653	0.246112	0.397154	-0.682027	0.562616	0.368222	0.523842	-0.724393	-0.255454	
33	0.676767	0.010477	-0.706574	-0.206469	0.690314	-0.054138	-0.707097	-0.143350	0.698681	-0.125999	-0.700533	-0.072260	0.688205	-0.112669	-0.711332	-0.087670	0.246103	0.397138	-0.682075	0.562573	0.368176	0.523840	-0.724401	-0.255503	
34	0.676779	0.010489	-0.706571	-0.206440	0.690323	-0.054183	-0.707094	-0.143306	0.698686	-0.125994	-0.700528	-0.072276	0.688221	-0.112693	-0.711315	-0.087652	0.246094	0.397120	-0.682058	0.562610	0.368178	0.523840	-0.724415	-0.255459	
35	0.676779	0.010473	-0.706578	-0.206416	0.690327	-0.054223	-0.707093	-0.143273	0.698689	-0.125978	-0.700525	-0.072302	0.688259	-0.112685	-0.711277	-0.087671	0.246084	0.397246	-0.681992	0.562606	0.368267	0.523904	-0.724323	-0.255460	
36	0.676794	0.010445	-0.706577	-0.206370	0.690334	-0.054241	-0.707089	-0.143253	0.698694	-0.125965	-0.700522	-0.072308	0.688276	-0.112666	-0.711262	-0.087689	0.246121	0.397142	-0.682071	0.562567	0.368189	0.523829	-0.724399	-0.255512	
37	0.676825	0.010379	-0.706575	-0.206283	0.690334	-0.054233	-0.707089	-0.143260	0.698702	-0.125951	-0.700516	-0.072320	0.688281	-0.112640	-0.711261	-0.087689	0.246139	0.397212	-0.682029	0.562561	0.368254	0.523847	-0.724350	-0.255519	
38	0.676850	0.010313	-0.706574	-0.206208	0.690329	-0.054193	-0.707089	-0.143298	0.698713	-0.125946	-0.700505	-0.072320	0.688287	-0.112639	-0.711259	-0.087664	0.246109	0.397122	-0.682074	0.562583	0.368174	0.523829	-0.724413	-0.255493	
39	0.676864	0.010309	-0.706565	-0.206192	0.690330	-0.054132	-0.707084	-0.143343	0.698717	-0.125970	-0.700501	-0.072282	0.688289	-0.112664	-0.711258	-0.087620	0.246091	0.397150	-0.682034	0.562620	0.368204	0.523856	-0.724394	-0.255447	
40	0.676888	0.010316	-0.706552	-0.206155	0.690323	-0.054089	-0.707087	-0.143379	0.698704	-0.125993	-0.700510	-0.072282	0.688291	-0.112617	-0.711264	-0.087615	0.246100	0.397164	-0.682036	0.562603	0.368213	0.523855	-0.724383	-0.255467	
41	0.676902	0.010324	-0.706545	-0.206136	0.690312	-0.054056	-0.707094	-0.143408	0.698701	-0.126004	-0.700510	-0.072285	0.688289	-0.112578	-0.711269	-0.087640	0.246095	0.397116	-0.682109	0.562551	0.368139	0.523835	-0.724414	-0.255527	
