Martin	// User ID
7-7-2023	// Evaluation date
CON_VE_R4	7-7-2023	10:04:11:065	// Source file name and timestamp
100.000	// Sampling rate
32.811	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
0	0.670196	0.042653	-0.706250	-0.224120	0.688333	-0.031324	-0.708702	-0.151518	0.697726	-0.100961	-0.704326	-0.083132	0.687872	-0.087756	-0.713777	-0.098254	0.240759	0.402733	-0.682999	0.559779	0.366813	0.530083	-0.719699	-0.257864	
1	0.670169	0.042675	-0.706266	-0.224142	0.688347	-0.031369	-0.708696	-0.151473	0.697713	-0.100951	-0.704339	-0.083142	0.687873	-0.087772	-0.713774	-0.098252	0.240805	0.402515	-0.683254	0.559606	0.366570	0.529945	-0.719849	-0.258074	
2	0.670164	0.042657	-0.706276	-0.224132	0.688359	-0.031363	-0.708684	-0.151476	0.697706	-0.100893	-0.704349	-0.083185	0.687877	-0.087744	-0.713767	-0.098296	0.240778	0.402534	-0.683253	0.559605	0.366564	0.529973	-0.719833	-0.258071	
3	0.670167	0.042666	-0.706273	-0.224131	0.688354	-0.031315	-0.708685	-0.151507	0.697702	-0.100830	-0.704357	-0.083226	0.687875	-0.087672	-0.713763	-0.098403	0.240769	0.402614	-0.683179	0.559641	0.366642	0.530017	-0.719776	-0.258026	
4	0.670155	0.042618	-0.706298	-0.224098	0.688346	-0.031313	-0.708691	-0.151515	0.697704	-0.100831	-0.704357	-0.083214	0.687877	-0.087662	-0.713762	-0.098411	0.240805	0.402636	-0.683185	0.559603	0.366664	0.529999	-0.719761	-0.258074	
5	0.670162	0.042583	-0.706305	-0.224060	0.688317	-0.031303	-0.708719	-0.151520	0.697700	-0.100867	-0.704361	-0.083164	0.687872	-0.087699	-0.713765	-0.098394	0.240758	0.402624	-0.683247	0.559556	0.366590	0.530025	-0.719762	-0.258122	
6	0.670179	0.042591	-0.706292	-0.224048	0.688301	-0.031300	-0.708732	-0.151527	0.697696	-0.100877	-0.704367	-0.083133	0.687869	-0.087751	-0.713764	-0.098372	0.240781	0.402506	-0.683301	0.559566	0.366520	0.529956	-0.719851	-0.258117	
7	0.670184	0.042600	-0.706287	-0.224045	0.688313	-0.031318	-0.708721	-0.151523	0.697699	-0.100839	-0.704367	-0.083149	0.687877	-0.087791	-0.713755	-0.098345	0.240764	0.402656	-0.683184	0.559608	0.366651	0.530038	-0.719743	-0.258062	
8	0.670192	0.042577	-0.706292	-0.224012	0.688301	-0.031301	-0.708736	-0.151508	0.697697	-0.100792	-0.704373	-0.083178	0.687882	-0.087767	-0.713747	-0.098391	0.240738	0.402536	-0.683272	0.559597	0.366531	0.530002	-0.719827	-0.258075	
9	0.670199	0.042516	-0.706308	-0.223951	0.688299	-0.031331	-0.708744	-0.151474	0.697693	-0.100781	-0.704377	-0.083189	0.687880	-0.087636	-0.713747	-0.098515	0.240767	0.402575	-0.683232	0.559606	0.366588	0.529999	-0.719802	-0.258067	
